src	tgt	CLASS	GROUND	nohome	invmech	srcreg	quoted	tablerow	fromstub	excerpt
11.155	5.107	MINT-ROUTE	F59 twin #39: 'NEW §5.107'; §5.107's stub cites §11.155(g2)(k) as provenance	0	0	0	0	0	1	155. **§5.104 CLOSED — display-scaling ownership is FORMAT-SCOPED, `display_scale` ADOPTED, and the twin carries the field's configured scale across the ownersh
11.156	11.101	CATALOGUE	machine rule	0	0	0	1	1	0	      1. **§11.86** — the stub carried *"planet offsets are TEXTURE-registered, not IAU (§11.69(e) premise refuted)"* as a FINDING; the entry marks that attribu
11.156	11.107	CATALOGUE	machine rule	0	0	0	1	1	0	      | **§11.111** | §11.107 | *"the grep result is SUPERSEDED"* |
11.156	11.108	CATALOGUE	machine rule	0	0	0	1	1	0	      | **§11.108(e)** | §11.128 | *"§11.108(e)'s 'same fix as the row's' is CORRECTED"* |
11.156	11.111	INVERTED	machine rule	0	1	0	1	1	0	      | **§11.111** | §11.107 | *"the grep result is SUPERSEDED"* |
11.156	11.113	INVERTED	machine rule	0	1	0	0	0	1	156. **THE STUB↔ENTRY-FILE SWEEP — §11.149(h)'s owed cross-check RUN over all 146 live pairs; 13 pairs had a correction in one home only, and 4 were the §5.27 s
11.156	11.116	CATALOGUE	machine rule	0	0	0	0	1	0	      | **§11.98(c)** | §11.116 | *"the missing datum RECOVERED, the zoom confounder REFUTED"* |
11.156	11.117	CATALOGUE	§11.156(g)'s out-of-scope paragraph, a catalogue of the class it could not see	0	0	0	0	0	0	    - **(g) OUT OF SCOPE, RECORDED NOT FIXED — the ADJACENT class the pair sweep structurally cannot see.** A pair check compares an entry against its own stub.
11.156	11.122	CATALOGUE	machine rule	0	0	0	0	1	0	      · **N4 case/word-form** (the entry states the same status in lowercase or a different word-form): §11.99 `CLOSED`, §11.122 `CONFIRMED`/`FIXED`, §11.135 `R
11.156	11.125	CATALOGUE	machine rule	0	0	0	0	1	0	      | **§11.122(i)** | §11.125(i) | *"the HUNG residual is REFUTED as posed, and REPLACED by an attributed mechanism"* — Theory A predicted ARM P ≈ 7 % / ARM 
11.156	11.128	CATALOGUE	machine rule	0	0	0	0	1	0	      | **§11.108(e)** | §11.128 | *"§11.108(e)'s 'same fix as the row's' is CORRECTED"* |
11.156	11.135	CATALOGUE	§11.156's N4 case/word-form enumeration	0	0	0	0	0	0	      · **N4 case/word-form** (the entry states the same status in lowercase or a different word-form): §11.99 `CLOSED`, §11.122 `CONFIRMED`/`FIXED`, §11.135 `R
11.156	11.140	CATALOGUE	§11.156's N4 case/word-form enumeration	0	0	0	0	0	0	      · **N4 case/word-form** (the entry states the same status in lowercase or a different word-form): §11.99 `CLOSED`, §11.122 `CONFIRMED`/`FIXED`, §11.135 `R
11.156	11.149	INVERTED	machine rule	0	1	0	0	0	0	    - **(g) OUT OF SCOPE, RECORDED NOT FIXED — the ADJACENT class the pair sweep structurally cannot see.** A pair check compares an entry against its own stub.
11.156	11.150	CATALOGUE	§11.156's catalogue of §11.112's marker	0	0	0	0	0	0	      4. **§11.112** — the stub asserted the four-site desync in the present tense; the entry marks it **SUPERSEDED IN ITS OPEN HALF** 2026-08-26 by §11.150 (F3
11.156	11.152	CATALOGUE	machine rule	0	0	0	0	1	0	      | **§11.101(f)** | §11.152 | *"§11.101(f)'s UNTESTED PREDICTION IS REFUTED"* (`reloadCurrentSystem` re-applies no display scaling at all ⇒ §5.104) |
11.156	11.153	CATALOGUE	§11.156's catalogue of §11.144's ATTRIBUTION marker	0	0	0	0	0	0	      2. **§11.144** — the stub carried **3 300 642 px>8** as the teleport's screen measure; the entry marks it **ATTRIBUTION REFUTED** (2026-08-26, F40 §11.153
11.156	11.69	CATALOGUE	machine rule	0	0	0	1	0	0	      1. **§11.86** — the stub carried *"planet offsets are TEXTURE-registered, not IAU (§11.69(e) premise refuted)"* as a FINDING; the entry marks that attribu
11.156	11.98	CATALOGUE	machine rule	0	0	0	0	1	0	      2. **§11.96 — (i-incomplete).** The entry's `[ANNOTATION 2026-07-24, vixy]` block routes Vixy's three directives *"→ B5-oort-2 task"* and stops there; the
11.156	11.99	CATALOGUE	§11.156's N4 enumeration naming §11.99	0	0	0	0	0	0	      · **N4 case/word-form** (the entry states the same status in lowercase or a different word-form): §11.99 `CLOSED`, §11.122 `CONFIRMED`/`FIXED`, §11.135 `R
11.156	5.104	CATALOGUE	machine rule	0	0	0	0	1	0	      | **§11.101(f)** | §11.152 | *"§11.101(f)'s UNTESTED PREDICTION IS REFUTED"* (`reloadCurrentSystem` re-applies no display scaling at all ⇒ §5.104) |
11.156	5.106	CATALOGUE	§11.156's catalogue of §11.144's marker, which routes to §5.106	0	0	0	0	0	0	      2. **§11.144** — the stub carried **3 300 642 px>8** as the teleport's screen measure; the entry marks it **ATTRIBUTION REFUTED** (2026-08-26, F40 §11.153
11.156	5.27	INVERTED	machine rule	0	1	0	0	0	0	      - **PRE-repair state recovered from harness history**, `git archive` at `458a71f` (= `d43abec^`) into a scratch tree: 165 entry files, 140 live pairs. The
11.157	11.176	INVERTED	machine rule	0	1	0	0	0	0	    - **(h) WHAT THE NEXT TASK MUST KNOW.** (1) **§5.109 is a standing hazard for every grounded-scene harness**: never `flag moon_scaled off; sleep N; moveto` 
11.157	5.107	INVERTED	machine rule	0	1	0	0	0	0	      - **[SUSPECT-STACK, AND THEN RESOLVED BY RE-MEASUREMENT, 2026-08-30, §11.176 (task F56) — original preserved, and the whole of this (e) bullet's photometr
11.157	5.80	PROXIMITY	F59 twin #29: the AFFECTED/SUPERSEDED verdict is about the HARNESS f34_convention.py, not the row	0	0	0	0	0	0	      - **AFFECTED, SUPERSEDED — documented, deliberately NOT re-baselined:** `f34_convention.py`. Its C3 gates assert convention A, which is the defect §5.80 n
11.164	5.107	PROXIMITY	F59 twin #41: the superseder says so itself -- '§5.107's own row is untouched'	0	0	0	0	0	0	    - **(g) §11.157(e)'s OTHER CANDIDATE IS REFUTED IN PASSING.** (e) named §5.107's extent latch (`boundingRadius` ×1.01 where `moon_altimetry_level = 2` says 
11.165	11.100	CATALOGUE	§11.165(c) enumerating its own bucket 4	0	0	0	0	0	0	      - **4 — not a supersession at all** (the keyword belongs to a neighbouring claim, the citation is a mention within the window): §11.100→§11.97 (*"the §11.
11.165	11.107	CATALOGUE	machine rule	0	0	0	1	1	0	      | 4 | (g) says **§11.111** ← §11.107 | at source: **§11.107(c)** ← §11.111 (F7, 2026-07-25) | **nothing owed — the marker is already there** | **DIRECTION
11.165	11.111	INVERTED	machine rule	0	1	0	1	1	0	      | 4 | (g) says **§11.111** ← §11.107 | at source: **§11.107(c)** ← §11.111 (F7, 2026-07-25) | **nothing owed — the marker is already there** | **DIRECTION
11.165	11.113	PROXIMITY	§11.165(b) cites §11.113(p) as the RULE the marker satisfies -- the same shape as §11.177 -> §11.161	0	0	0	0	0	0	    - **(b) MEMBER 4 IS THE SCAN READING A BACK-MARKER AS ITS OWN QUARRY — and the marker §11.113(p) asks for was already there.** §11.156(g)'s table row is *"§
11.165	11.116	CATALOGUE	machine rule	0	0	0	0	1	0	      | 5 | **§11.98(c)** | §11.116(b) (Fable, session 3, 2026-07-30) | `INTENT/11.98.md` **+ live stub** | *"§11.98(c) 'oort too early' — the missing datum REC
11.165	11.125	CATALOGUE	machine rule	0	0	0	0	1	0	      | 1 | **§11.122(i)** | §11.125(i) (F17, 2026-07-31) | `INTENT/11.122.md` **+ live stub** | *"§11.122(i) — the HUNG residual is REFUTED as posed, and REPLA
11.165	11.128	CATALOGUE	machine rule	0	0	0	0	1	0	      | 3 | **§11.108(e)** | §11.128(a2) (F20, 2026-08-01) | `INTENT/11.108.md` (**only home**) | *"§11.108(e)'s 'same fix as the row's' is CORRECTED here … imp
11.165	11.152	CATALOGUE	machine rule	0	0	0	0	1	0	      | 2 | **§11.101(f)** | §11.152(i)+(b) (F39, 2026-08-26) | `INTENT/11.101.md` (**only home**) | *"§11.101(f)'s UNTESTED PREDICTION IS REFUTED — and the ref
11.165	11.52	CATALOGUE	machine rule	0	0	0	1	0	0	      - **4 — not a supersession at all** (the keyword belongs to a neighbouring claim, the citation is a mention within the window): §11.100→§11.97 (*"the §11.
11.165	11.53	CATALOGUE	§11.165(c) enumerating its own bucket 4	0	0	0	0	0	0	      - **4 — not a supersession at all** (the keyword belongs to a neighbouring claim, the citation is a mention within the window): §11.100→§11.97 (*"the §11.
11.165	11.55	CATALOGUE	machine rule	0	0	0	1	0	0	      - **4 — not a supersession at all** (the keyword belongs to a neighbouring claim, the citation is a mention within the window): §11.100→§11.97 (*"the §11.
11.165	11.70	CATALOGUE	§11.165(c) enumerating its own bucket 4	0	0	0	0	0	0	      - **4 — not a supersession at all** (the keyword belongs to a neighbouring claim, the citation is a mention within the window): §11.100→§11.97 (*"the §11.
11.165	11.97	CATALOGUE	machine rule	0	0	0	1	0	0	      - **4 — not a supersession at all** (the keyword belongs to a neighbouring claim, the citation is a mention within the window): §11.100→§11.97 (*"the §11.
11.165	11.99	CATALOGUE	§11.165's header/catalogue naming the §11.99 marker form	0	0	0	0	0	1	165. **THE §11.156(g) RECOVERY BACKLOG PAID — the pre-rule cross-entry supersessions marked AT the superseded node, and the fifth member is the scan reading a b
11.165	5.104	CATALOGUE	machine rule	0	0	0	1	1	0	      | 2 | **§11.101(f)** | §11.152(i)+(b) (F39, 2026-08-26) | `INTENT/11.101.md` (**only home**) | *"§11.101(f)'s UNTESTED PREDICTION IS REFUTED — and the ref
11.165	5.26	CATALOGUE	§11.165(c) enumerating its own bucket 3/4	0	0	0	0	0	0	      - **4 — not a supersession at all** (the keyword belongs to a neighbouring claim, the citation is a mention within the window): §11.100→§11.97 (*"the §11.
11.165	5.32	CATALOGUE	§11.165's header/catalogue	0	0	0	0	0	1	165. **THE §11.156(g) RECOVERY BACKLOG PAID — the pre-rule cross-entry supersessions marked AT the superseded node, and the fifth member is the scan reading a b
11.165	5.59	MINT-ROUTE	§11.165(d) routes §11.122(i)'s surviving residual to the named defect §5.59 -- a route, not a supersession of §5.59's own claim; §11.165(c)'s bucket 3 shape	0	0	0	0	0	0	      - **PROPOSED DISPOSITION, enacted nowhere — the supervisor's or Vixy's call.** Read against §11.122(i)'s own acceptance rule (*"a residual is accepted onl
11.167	11.176	INVERTED	machine rule	0	1	0	0	0	0	      - **[THE "EPOCH" FRAMING IS SUPERSEDED, THE CENSUS IS NOT — 2026-08-30, §11.176 (task F56); original preserved, and the distinction is the whole of the ma
11.171	11.165	PROXIMITY	NAMED EXCEPTION, re-verified at the node -- and the carried label 'benign-in' now has a sharper reason: the keywords in the window are the INSTRUMENT'S OWN LEXICON, quoted ('the event half fires on REFUTED|SUPERSEDED|CORRECTED|RETRACTED|WITHDRAWN'). The scan fires on a quotation of itself	0	0	0	0	0	0	      - **An observation about the scan's reach, offered to its owner (§11.165) and NOT acted on**: the event half fires on `REFUTED|SUPERSEDED|CORRECTED|RETRAC
11.172	11.174	INVERTED	NAMED EXCEPTION, re-verified at the node and the carried label HOLDS on both halves: the §11.174(c) citation sits inside an [ANNOTATION ... original preserved.] span AT §11.172 (the line IS the marker), and the CORRECTED in the window belongs to a neighbouring claim about §11.164/§11.167. invmech misses it, so 62 is a FLOOR	0	0	0	0	0	0	      - **What this does and does not license.** It does NOT attribute the 2026-08-29 state, and it does not refute that it happened — F48's and F51's frames ar
11.176	0.5	NO-HOME	machine rule	1	0	0	0	0	1	176. **THE ENVIRONMENT CANARY EXISTS AND REFUSES THE DIM ERA AT THE DOOR, THE SWEEP FINDS THE SUSPECT SET IS THREE ENTRIES, AND THE FOLLOW-UP TURNS THE LEDGER'S
11.176	11.179	INVERTED	machine rule	0	1	0	0	0	0	      - **Two of the +3 are the direction-inversion family §11.165(b) named** (the third is the self-description artifact just described, `§11.176 → §11.172`) (
11.177	11.161	PROXIMITY	NAMED EXCEPTION, re-verified at the node: §11.177(l) cites §11.161 as the rule it FOLLOWED, and kept the pair deliberately as this class's specimen	0	0	0	0	0	0	      - **THE SCAN NUMBER WAS PREDICTED WRONG TWICE AND MEASURED THREE TIMES; the chain is kept rather than tidied, because it is the entry's cheapest criterion
11.177	11.179	INVERTED	machine rule	0	1	0	0	0	0	      - **THE SCAN NUMBER WAS PREDICTED WRONG TWICE AND MEASURED THREE TIMES; the chain is kept rather than tidied, because it is the entry's cheapest criterion
11.179	11.144	CATALOGUE	NAMED EXCEPTION, re-verified: same sentence, quoting §11.144's own [ATTRIBUTION REFUTED ... -> new §5.106]	0	0	0	0	0	0	    backwards, and `§11.144 → §5.106` is §11.144's own `[ATTRIBUTION REFUTED … → new §5.106]`
11.179	11.6	CATALOGUE	NAMED EXCEPTION, re-verified: §11.179(e) QUOTES the back-marker at §11.6 to name the direction-inversion family -- §11.179(l) predicted this pair before it existed	0	0	0	0	0	0	    a back-marker AT §11.6 (*"CORRECTED 2026-07-20 — DO NOT APPLY AS STAGED (§5.2)"*) read
11.179	5.106	CATALOGUE	NAMED EXCEPTION, re-verified: §11.179(e)'s sentence QUOTING §11.144's own [ATTRIBUTION REFUTED ... -> new §5.106] to name the direction-inversion family	0	0	0	0	0	0	    backwards, and `§11.144 → §5.106` is §11.144's own `[ATTRIBUTION REFUTED … → new §5.106]`
11.179	5.2	CATALOGUE	machine rule	0	0	0	1	0	0	    a back-marker AT §11.6 (*"CORRECTED 2026-07-20 — DO NOT APPLY AS STAGED (§5.2)"*) read
11.179	5.28	CATALOGUE	§11.179(i)/M4's finding text names §5.28's two defects; F59 placed no §5-node annotation because none was owed, and the F59 acceptance disambiguated §5.28 at all three homes	0	0	0	0	0	1	179. **F49'S TWO NAMED-NOT-RUN AUDITS RUN — THE §5 SIDE OF §11.113(p) HAS **ZERO ARREARS IN 44 PAIRS** AND **ZERO UNCOVERED CLAIMS IN 49**, AND THE ONLY DEFECT 
11.179	5.63	CATALOGUE	machine rule	0	0	0	1	0	0	    *"THREE THINGS §5.63 SAID THAT THIS RETRACTS OR CORRECTS"*; `RETRACTS`/`CORRECTS` are
11.182	11.183	INVERTED	machine rule	0	1	0	0	0	0	182. **A '#' OUTSIDE QUOTES IS A COMMENT — RULED BEHAVIOUR, MODELLED BY SCEDIT FIRST, THEN LANDED IN `parseCommand` (2026-08-31, Claude Fable 5; code `3d9179d2`
11.182	5.10	NAMESPACE	NAMED EXCEPTION, re-verified at the node: this §5.10 is scedit's tests/derivation-diff.md §5.10 (session-18 §3(e)). An id that RESOLVES here (INTENT/archive/5.10.md) while meaning a document outside it -- no machine settles this, which is why member 5's NO-HOME rule deliberately does not claim it	0	0	0	0	0	0	182. **A '#' OUTSIDE QUOTES IS A COMMENT — RULED BEHAVIOUR, MODELLED BY SCEDIT FIRST, THEN LANDED IN `parseCommand` (2026-08-31, Claude Fable 5; code `3d9179d2`
11.184	11.186	INVERTED	machine rule	0	1	0	0	0	0	184. **`#!` — THE ENGINE WRITES THE DIAGNOSIS ON THE FAULTY LINE, AND A SCRIPT LINE NOW KNOWS WHERE IT CAME FROM (2026-08-31, Claude Fable 5; code `2b8ec034`; g
11.186	11.189	INVERTED	machine rule	0	1	0	0	0	0	**[DELIVERED + TWO FIGURES CORRECTED 2026-08-31, F70 → §11.189, code
11.186	2.0	NO-HOME	machine rule	1	0	0	0	0	1	186. **SESSION-19 TRANSMISSIONS: LOCK-SCREEN OFF (MEASURED, WITH A RESIDUAL), TCP PROVENANCE + A DEDICATED FEEDBACK LINK MANDATED (masterput's CHANNEL FROZEN), 
11.187	11.113	PROXIMITY	§11.187's marker names §11.113(p) as the rule it FOLLOWS while superseding §11.184; the (§11.187, §11.184) pair on the same line comes out MARKED, which is the compliance	0	0	0	0	0	0	below. **[This entry SUPERSEDES §11.184's boundary clause in part — the back-marker is written at §11.184's own node, entry file and stub, in this commit (§11.1
11.187	11.188	INVERTED	machine rule	0	1	0	0	0	0	  **[CORRECTED 2026-08-31 → §11.188(j), F69: that NOTE is the INSTRUMENT, not
11.188	11.189	INVERTED	machine rule	0	1	0	0	0	0	  **[CORRECTED 2026-08-31, F70 §11.189(a) — the COUNT was right, the CLASS was
11.19	11.24	INVERTED	machine rule	0	1	0	0	0	0	    **Hints implemented** (strategy.txt TODO): HintModule circle via `Renderer::drawHint` → new `DRAW_HINT_POS` DrawHelper entry (same seam-borrow class as the 
11.191	11.193	INVERTED	machine rule	0	1	0	0	0	0	**[SHAPE CORRECTED 2026-09-01 → §11.193: the owner's "good idea" ratified a richer shape than the question offered — the log line as the INTENT-MODIFIED line, n
11.197	0.7	NO-HOME	machine rule	1	0	0	0	0	0	  executor-caught), §11.192's SUPERSEDED marker likewise (F73 executor's §0.7 report), and
11.197	11.164	CATALOGUE	§11.197(j) quoting §11.172 -> §11.174's own description, in which the CORRECTED belongs to a neighbouring claim about §11.164/§11.167	0	0	0	0	0	0	    `CORRECTED` in the window belongs to a neighbouring claim about §11.164/§11.167); and
11.197	11.167	CATALOGUE	same sentence, same quotation	0	0	0	0	0	0	    `CORRECTED` in the window belongs to a neighbouring claim about §11.164/§11.167); and
11.197	11.180	CATALOGUE	§11.197(g) naming F60's three STALE ROUTING markers, i.e. quoting the pair §5.44 -> §11.180 that member 6 makes visible	0	0	0	0	0	0	  visible for the first time, and `§5.44 → §11.180` completes F60's three STALE ROUTING
11.197	11.192	CATALOGUE	§11.197(h) quoting the F73 executor's §0.7 report about §11.192's SUPERSEDED marker	0	0	0	0	0	0	  executor-caught), §11.192's SUPERSEDED marker likewise (F73 executor's §0.7 report), and
11.197	11.75	CATALOGUE	§11.197(j) quoting §11.76(c)'s own assertion verbatim, to show the rule that accepted it -- the quotation manufactures the pair the quotation is about	0	0	0	0	0	0	    and it accepted `**(c) SUPERSEDES the §11.75(b)/§2.0 [derived] tension reconciliation**`
11.197	11.76	INVERTED	machine rule	0	1	0	0	0	0	    3(b).** *Reading 1, an arrear*: §11.76(c) says it SUPERSEDES the §11.75(b)/§2.0 tension
11.197	2.0	NO-HOME	machine rule	1	0	0	0	0	0	    and it accepted `**(c) SUPERSEDES the §11.75(b)/§2.0 [derived] tension reconciliation**`
11.197	5.44	CATALOGUE	same sentence	0	0	0	0	0	0	  visible for the first time, and `§5.44 → §11.180` completes F60's three STALE ROUTING
11.48	11.113	INVERTED	machine rule	0	1	0	0	0	0	    - **(a) Resolved outright — row leaves §13.A, implementation row opens in §13.B**: **A1** (Q14) display gates recording, re-enable starts FRESH — stated rea
11.48	11.76	INVERTED	machine rule	0	1	0	0	0	0	    - **(a) Resolved outright — row leaves §13.A, implementation row opens in §13.B**: **A1** (Q14) display gates recording, re-enable starts FRESH — stated rea
11.54	11.113	INVERTED	machine rule	0	1	0	0	0	0	    **[MECHANISM SUPERSEDED 2026-07-26 — D23 → §11.113(b)(iii); marker added 2026-07-29 (checking pass, §11.114).** *"For performance reason, hidden bodies shou
11.54	11.114	INVERTED	machine rule	0	1	0	0	0	0	    **[MECHANISM SUPERSEDED 2026-07-26 — D23 → §11.113(b)(iii); marker added 2026-07-29 (checking pass, §11.114).** *"For performance reason, hidden bodies shou
11.56	11.114	INVERTED	machine rule	0	1	0	0	0	0	    **[HIDDEN-HALF SUPERSEDED 2026-07-26 — D23 → §11.113(b)(ii); marker added 2026-07-29 (checking pass, §11.114).** Vixy's D23 answer (*"hidden body should beh
11.58	11.61	INVERTED	machine rule	0	1	0	0	0	0	    - **(g) OUT-OF-SCOPE FINDING, not fixed: the mount (`viewing_mode`) is NOT wired to the new Camera.** **⚠ CORRECTED — this premise is FALSE, see §11.61(f) [
11.6	5.2	INVERTED	machine rule	0	1	0	0	0	0	6. ~~**isFalse("solid") behavioral fix still pending** (INTENT 5.2) — deferred because it shifts altitude semantics mid-Moon-investigation; apply on Vixy's go.~
11.70	11.52	PROXIMITY	§11.165(c) bucket 4, verbatim: 'already reflected §11.52(c)'	0	0	0	0	0	0	70. **Round-2 tester answers propagated (2026-07-22, recorded by Claude Fable 5).** Source: the ten live re-asks (R1, R3–R11, R13) + the two no-longer-questions
11.76	11.75	AMBIGUOUS	CLASS ADDED DURING THE WALK, with its argument (F59's AMBIGUOUS, added the same way its OFF-AXIS was): SURFACED BY MEMBER 3(b) AND CANNOT BE HONESTLY RESOLVED BY ME. Reading 1, an arrear: §11.76(c) says it SUPERSEDES the §11.75(b)/§2.0 tension reconciliation, and INTENT/11.75.md contains the string 11.76 ZERO times, so §11.75's own node carries nothing. Reading 2, nothing owed: the superseded TEXT is §2.0's line 104, which does carry a dated marker (**SUPERSEDED [vixy 2026-07-22, §11.76(c)]**) -- the marker went where the claim lived, and §11.75(b) only points at §2.0. §2.0 is not a node this instrument can resolve (it is the NO-HOME member on the same line). PLACING OR NOT PLACING A MARKER AT §11.75 IS THE SUPERVISOR'S ACT; this task writes no ledger text to move a counter	0	0	0	0	0	0	    - **(c) SUPERSEDES the §11.75(b)/§2.0 [derived] tension reconciliation** (original preserved there, struck): the B19/§11.54 tension resolves by the barrier,
11.76	2.0	NO-HOME	machine rule	1	0	0	0	0	0	    - **(c) SUPERSEDES the §11.75(b)/§2.0 [derived] tension reconciliation** (original preserved there, struck): the B19/§11.54 tension resolves by the barrier,
11.93	11.101	INVERTED	machine rule	0	1	0	0	0	0	    - **(b) Use-site table [grep-verified src-wide]**: draw/self-shadow/depth = fresh-by-construction (drawn ⟹ visible ⟹ updated); dumpTrace `axisRot` + dumpHop
5.110	5.113	INVERTED	machine rule	0	1	1	0	0	1	110. **Six `#selected_*` script variables answer a COMPOSED-body selection out of the uninitialized object — `#selected_distance` reports 1.0 AU and `#selected_
5.115	11.170	INVERTED	machine rule	0	1	1	0	0	1	115. **The SCRIPT log grows without bound across launches — the only log the app opens with `keepHistory=true`, appended into per-day dated files that nothing e
5.115	11.173	INVERTED	machine rule	0	1	1	0	0	1	115. **The SCRIPT log grows without bound across launches — the only log the app opens with `keepHistory=true`, appended into per-day dated files that nothing e
5.115	11.196	INVERTED	machine rule	0	1	1	0	0	1	115. **The SCRIPT log grows without bound across launches — the only log the app opens with `keepHistory=true`, appended into per-day dated files that nothing e
5.117	11.188	OFF-AXIS	machine rule	0	0	1	0	0	1	    One renderer, two origins, one severity — still `L_DEBUG` in `LOG_FILE::SCRIPT`, still §5.115's file. The file origin names its FULL PATH, not a basename `[
5.117	11.196	INVERTED	machine rule	0	1	1	0	0	1	    — **MEASURED AND PARTLY CORRECTED 2026-09-01 (F77, §11.196): both halves this row still owed are paid, and the console clause was WRONG — in this row's favo
5.2	11.180	INVERTED	machine rule	0	1	1	0	0	0	   **Consequence — altitude 0 is a FIXED POINT of the natural law, and that is what the 1 km base altitude patches**: at altitude 0 `distanceToReference() == 0`
5.2	11.71	INVERTED	machine rule	0	1	1	1	0	0	   **Consequence — altitude 0 is a FIXED POINT of the natural law, and that is what the 1 km base altitude patches**: at altitude 0 `distanceToReference() == 0`
5.21	11.163	INVERTED	machine rule	0	1	1	0	0	0	**[REACH CORRECTED 2026-08-29, F47 §11.163(e) — re-verified at code `d6aec251`; both defects still present verbatim: `orbit.cpp:1091` `lon((_lon+parentOffset)*M
5.21	11.78	INVERTED	machine rule	0	1	1	0	0	1	21. **`LocationOrbit` degraded spin model + unconverted latitude** — **OPEN, dead in practice, ~~superseded for the new path~~ (2026-07-22, §11.78(c))** **[REAC
5.24	11.180	INVERTED	machine rule	0	1	1	0	0	0	**[STALE ROUTING 2026-08-30 (F60, §11.180(c)) — the entry's header still reads *"OPEN → ledger B32"* and B32 IS DONE: recompute-at-use LANDED 2026-07-24, code `
5.27	5.104	OFF-AXIS	machine rule	0	0	1	0	0	0	      - **The three readings the fix had to carry** (from the UNBLOCKED block above): (i) the latch is dead — done, and §11.101(f)'s reload prediction is **REFU
5.44	11.117	INVERTED	machine rule	0	1	1	0	0	1	44. **OLD PATH: unhiding a body RE-SHOWS descendants that were hidden independently — `showBodyRecursive` has no memory of why a child was hidden.** `ProtoSyste
