id	predecessor_last_stated_status	ledger_state_read_2026-09-18	disposition	who_acts
T1.3	DESIGNED 2026-09-13 (11.233(c) direction, F117 -> 11.240); leaves the decision tier except three appearance questions	11.240: 5 of 9 suspended items answered, 1 in part, 3 his; five slices, slice 1 decision-free; seven owner nodes [Y17]-[Y23]	LIVE as a decision node (the owner's reading of b5-dso-design.md + [Y17]-[Y23]); the WORK is T2's five slices	owner, then dispatchable
T1.4	CLOSED 2026-09-05 by round-3 R27; work delivered F91	5.86 + 5.19 FIXED (11.213); decision (1) was never a decision (the +M_PI_2 of getAxisRotation)	CLOSED (11.213)	-
T1.5	LIVE - 5.109's layer half	5.109 OPEN; the display-scaled-datum hazard is a standing harness rule (fable-dispatch section 0.5)	LIVE	owner
T1.6	LIVE - the script-semantics batch; B38's eight folded in by F47	every named member OPEN at its row; membership WIDENED by this census (see the map's T1.6)	LIVE, membership refreshed	owner (mostly), tester where the semantics are his
T1.7	LIVE - forks whose owed data is PAID	A43 CLOSED AS DESIGN (round-3 R29); A40/A41/A42/A44 still 13.A rows; 5.88/5.89/5.90/5.106/5.108 OPEN; the two 11.144 riders open	LIVE minus A43	owner
T1.8	LIVE - B31 completeness residue (C4's non-body catalogue key + D30's DELTA branch)	B31 row OPEN on the session file and the ledger; slice 3 landed (11.128)	LIVE	dispatchable after the decision
T1.9	LIVE - 5.53(b), the big-texture level gate, one token	5.53 (a) WITHDRAWN as a defect (R29 "It's a design"), (b) unchanged and sharper; waits also on A42's unnamed number	LIVE	owner + tester (A42's number)
T1.10	LIVE - 5.35 day_key_mode + 5.41 camera action save (5.98 struck, FIXED F94)	5.35 OPEN, 5.41 OPEN (B31-gated)	LIVE	owner
T1.11	LIVE - 5.113 + 5.110's fix routing	5.113 OPEN and explicitly unaffected by F91; 5.110 OPEN, its mechanism is the TYPE FILTER upstream	LIVE	owner
T2:5.111	MINTED as F87	matched set DELIVERED (11.209, 14 msgids); the UNMATCHED set is an owner decision, not T2 work	CLOSED as T2 work; the remainder moves to T1.14	owner (T1.14)
T2:5.110	PAID 2026-08-29 (F50 11.166); fix routing -> T1	5.110 OPEN at its row; routing home is T1.11	CLOSED as T2 work	owner (T1.11)
T2:5.49	LIVE - the owed render measurement (f14_meridian.py u_sub), S and unblocked	5.49 OPEN; 11.217(d) annotated the POSITION level only, "the render half this row owes is untouched by that datum"	LIVE	dispatchable (S)
T2:i18n-asym	LIVE - composed-body i18n selection asymmetry (11.158(d5))	recorded at 11.158(d5); no section 5 row; not re-measured since; F87/11.209 covered the readout, not selection	LIVE	dispatchable (S, measure then route)
T2:5.41/5.42	TRIAGED 2026-08-29 (F47) -> both to T1	5.41 OPEN (T1.10), 5.42 OPEN (T1.6) + the 5.112 scope pointer	CLOSED as T2 work	owner (T1)
T2:5.20/5.21	5.20 NOT blocking; 5.21 -> T2, reach corrected	5.20 OPEN, no construction site on either path; 5.21 PARTLY FIXED (latitude), (a) + the third defect OPEN and NO LONGER decision-free (blocked on 5.140)	5.20 EXCLUDED (not blocking); 5.21 LIVE, blocked on 5.140	tester (5.140), then dispatchable
T2:5.107	LIVE - extent-cache latch, the fix shape exists	5.107 OPEN; the owed count (bodies whose isVisible never went true in a shipped show) has not been taken	LIVE	dispatchable (S)
T2:5.71+5.66	UNBLOCKED 2026-09-05 by R28; both port under the new convention	5.71 port dispatchable, its feel answer still owed; 5.66's OWN owed item OPEN (which landing "look_at azimuth X altitude Y" means) - the "decision-free" label was REFUTED at its row (session-28 [H4])	LIVE, and the predecessor's "neither waits on a decision any more" is STALE	5.71 dispatchable; 5.66 owner
T2:B35/B36/B37	LIVE - capability audits that bound the transparency denominator	all three 13.B rows OPEN	LIVE	dispatchable (M)
T2:hygiene	ALL THREE DISCHARGED 2026-08-29/30	11.164, 11.165, 11.168 delivered	CLOSED	-
T3:field-content	ANSWERED IN THREE PARTS (R22/R23/R24); the answers move the question	5.74 + 5.78 OPEN, de-prioritized, off every path; 5.90's mechanism OPEN; 5.88 gains weight; the PROCEDURE is R7	LIVE (narrowed: 5.88's diagnostic + 5.90's mechanism + R7)	owner (R7), dispatchable (5.88)
T3:census	ANSWERED 2026-09-05 (R21) - nothing retired, every class IN	11.162 closing marker; the staleness caveat travels with it	CLOSED as a question; its consequence is carried in the map's head	-
T3:hardware	LIVE - 5.60, his dome/projector vs our headless :2, his maximum_fps; appearance is (binary, driver) jointly	5.60 OPEN; 11.167(i) the driver census; 11.159(k7) cadence is stack-local	LIVE	tester/owner at his field
T3:config-migration	5.112's datum PAID (F84 11.204(j)); N7 gives the fix direction; open for "his actual config version"	5.112 OPEN; the tester's EXPECTATION recorded (comment out, never delete); the stratum ruling and schedule stay the owner's	LIVE (two halves: his version, and the fix's schedule)	owner (schedule), tester (his file)
T3:B14-data	LIVE - the poles/W0/periods package rides the next spacecrafter-data delivery	B14 row OPEN: W0/drift/loaded-6 SUSPENDED	LIVE	owner
T3:script-corpus	LIVE - "the shipped 434 are our proxy; HIS files are the real test"	F98 soaked the tester's own fscripts corpus (4.508 h, 135 shows, 8 cycles) and found 5.142/5.143/5.144; what remains is HIS install and any file newer than the copy soaked	LIVE, narrowed	tester
T4:D15(a)-(d)	INFORM x4 with the revise/revert offer	silence = accepted under the batch's own contract; they stand as built	CLOSED	-
T4:D15(b)-CONFIRM	CONFIRM the heading-stability default	round-3 R26 confirmed, plus a fallback clause the question did not offer	CLOSED	-
T4:D37	a QUESTION with its premise fact	round-3 R14 + R15: hidden star goes dark, ambient-valued; DECISIONS_PENDING D37 CLOSED	CLOSED as a decision; the IMPLEMENTATION is unscheduled	owner (schedule)
T4:A15	A15's fade thresholds	L1 judged one of four axes (remove the residual step, delivered F109); the threshold and band stay open at A15	LIVE (at A15)	owner
T4:oort-shadow	the oort-SHADOW onset item, state-stamped	round-3 L2 "I didn't test it yet" - THE ONE MEMBER STILL OPEN of the whole batch	LIVE	tester
T4:D28/A38	transition_to body keeps whole orientation	round-3 N5 "Just switch to the planet, keeping the old values" - no revert, option (a) stands	CLOSED	-
T4:freeflight-defaults	the free-flight defaults (riders, if Vixy confirms)	NEVER SENT - waits on Vixy (11.207's own record)	LIVE	owner
T4:5.106	5.106's environment semantics (if closed-as-accepted)	NEVER SENT; 5.106 OPEN, de-urgented (interactive-only); the atmosphere-flood sub-question owed either way	LIVE	owner
T4:field-content	the field-content questions (T3)	answered R22/R23/R24 - see T3:field-content	CLOSED as T4 cargo	-
T4:census	the content census (T3)	answered R21 - see T3:census	CLOSED as T4 cargo	-
T4:11.4-origin	possibly 11.4's origin sub-question	round-3 R27 "The RA/DE must be the value from our position" - observer-centred	CLOSED	-
T4:5.83	ADDED by F47 as an INFORM	silent, therefore accepted	CLOSED	-
T4:5.21	ADDED by F47 as a QUESTION to the tester	round-3 R18 "No." - the D9 compensation risk is excluded	CLOSED as T4 cargo (the row is LIVE at T2)	-
T4:5.98	ADDED by F47 as a QUESTION; then struck	R19 authorised, F94 DELIVERED (code 7509c809); one doc token routed at SS-17	CLOSED	tester (the doc token)
T5.1	RAN 2026-09-05 (F90 -> 11.211)	f90_rehearsal.py is the newcomer's smoke suite; zero flakes over 13 runs across two binary changes	CLOSED	-
T5.2	RAN 2026-09-06 (F95 -> 11.215) and again on the tester's corpus (F98 -> 11.218)	5 h 44 min + 4.508 h; no F1/F2/F3/F4; "ready" is the owner's word from here	CLOSED; what it CANNOT see is re-derived into the new T5	-
T5.3	RESOLVED 2026-08-29 (F47 11.163(i)) - not unmapped, an enumerated eight-member batch	B38 row OPEN; the eight members are T1.6's	CLOSED as an unmapped edge	-
T5.4	LIVE - joystick/hardware UI path, no hardware here	B37 row OPEN	LIVE, carried into the new T5	tester at his field
T5.5	TRIAGED 2026-08-29 (F47) - all eight read at source	the eight dispositions are recorded at 11.163(b)	CLOSED	-
NB1	B8 old-path removal - transparent operation KEEPS old present	B8 row OPEN by definition (waits for old-path removal)	LIVE as an exclusion, argument unchanged	-
NB2	B1/B2/B3 architectural lines - Vixy-paced by design	B1/B2/B3 rows OPEN; R21 removed the "unless the census says otherwise" escape, so the exclusion rests on the Vixy-paced argument alone	LIVE as an exclusion, argument WEAKER than the one it replaced	owner (pace)
NB3	perfect parity on interactive free-flight residuals - <=2.3 m/toggle accepted	11.154(a); the usage-path model covers the tester's interactive use	LIVE as an exclusion	-
CP:T1.1	critical-path member	CLOSED - see T1.1	CLOSED	-
CP:T1.2	critical-path member	CLOSED - see T1.2	CLOSED	-
CP:T1.3	critical-path member	LIVE as a reading + [Y17]-[Y23] - see T1.3	LIVE	owner
CP:T1.4	critical-path member (the pair)	CLOSED - see T1.4	CLOSED	-
CP:T1.5	critical-path member (added by the 2026-09-05 evening re-cut)	LIVE - see T1.5	LIVE	owner
CP:T2-burn	"two or three dispatch rounds burn T2"	partly burnt: 5.86+5.19, 5.98, 5.111's matched set, 5.115's retention+size, 5.100/5.101, 5.150's iterative half all delivered since	LIVE, shorter	dispatchable
CP:final-pass	"the final pass fires carrying T3+T4"	FIRED and came back: nineteen of twenty answered, L2 alone open	CLOSED as an act; a SECOND pass is not scheduled	owner/tester
CP:T5.1	rehearsal gates "ready"	RAN - see T5.1	CLOSED	-
CP:T5.2	soak gates "ready"	RAN - see T5.2; "ready" is the owner's word	CLOSED	owner (the word)
CP:queue	the decision-free queue R27/R28/R18/R19/R20/L1 created 2026-09-05	11.207(g)'s list carries three "decision-free" labels REFUTED at their rows (5.66, 5.71, item 6) - session-28 [H4]: the list is re-cut before anything is dispatched from it again	LIVE, and the label is stale	dispatchable after the re-cut
CP:5.86+5.19	"first: RA/DE, both decisions closed"	DELIVERED 2026-09-06 (F91 11.213)	CLOSED	-
CP:5.112	"the one genuinely new item F47 adds to the path"	5.112 OPEN; the datum is paid, the fix direction is the tester's N7, the schedule is the owner's	LIVE	owner
CP:5.135	"the one row this round added ... the OLD path that is wrong"	5.135 OPEN, both readings recorded	LIVE, now T1.13	owner
# --- ids MINTED BY THIS REGENERATION (max+1 in their own tier over live U archive).
# They are not predecessor items; they are here because the id-conservation check
# requires every live label of the new map to have a row.
R10 (new, max+1)	not carried - [Y8] of fable-dispatch section 3, session 29, never in the map	11.234(g) MEASURED: build-claude is RelWithDebInfo (-O2 -g -DNDEBUG), install_src.sh configures Release (-ggdb3 -Ofast -Wall -O3)	LIVE - every D11 cost number was taken on a build the documents do not ship	owner
R11 (new, max+1)	not carried - the intern's own clone readings, 11.242 and section 3 [F4]/[H7]	ctest 19/19 from a fresh configure at 564ec489; a transport clone reads 4 AT-PIN-BROKEN; anchor_gate.py has twelve duplicated definitions and an out-of-range misdiagnosis; one ss-grammar row carries [NOT AT HEAD]	LIVE - all of it in the CODE tree, so it is the intern's surface	owner + dispatchable
T1.12 (new, max+1)	carried as a head bullet only (5.142 named in the T5 annotation), no id	5.142 OPEN; the root measured, four options priced at 11.236(i)(k); the pool stays 1 MiB by the owner's word	LIVE	owner
T1.13 (new, max+1)	T1.2's two residues, carried in the head as "newly necessary, and small"	5.135 OPEN (both readings recorded); 5.128 OPEN, record-only	LIVE	owner
T1.14 (new, max+1)	5.111's remainder was a T2 bullet; 5.121 and 5.136 were never carried	5.111 matched set FIXED, unmatched set OPEN; 5.121 OPEN; 5.136 OPEN	LIVE	owner
T1.15 (new, max+1)	none of the five was carried (all minted after the 2026-09-05 rework)	5.153 OPEN; 5.154 OPEN; 5.148 OPEN; 5.149 OPEN; 5.152 OPEN; plus 11.216(j2)'s readout question	LIVE	owner
T1.16 (new, max+1)	not carried	5.146 OPEN, the shape given [vixy 2026-09-12]; EntityCore, coupled to the submodule push	LIVE	owner
T1.17 (new, max+1)	not carried	5.115 retention FIXED and size bound FIXED; the density half OPEN	LIVE	owner
T1.18 (new, max+1)	not carried	5.126 OPEN; 5.125 OPEN	LIVE	owner
T5.6 (new, max+1)	carried inside T5.2's annotation as "OUTSIDE THIS INSTRUMENT AND STAYS UNMAPPED", no id	B30 OPEN, fix suspended for Vixy (11.94(d)); the soak reads no pixel	LIVE - re-derived as its own unmapped edge	owner
T5.7 (new, max+1)	not carried	11.232(c)1: a human without an LLM writes nothing into this ledger; his findings arrive through git history and the main tester only	LIVE - the entry path was rehearsed by an LLM, never followed by the reader it is for	owner (the channel)
T5.8 (new, max+1)	not carried - the map ASSERTED the exclusion instead	11.163(h) was derived from T0's "adapt to"; 11.232(a)2's R0 criterion is "workable ... could disrupt work there"; no ruling exists	LIVE - question Q2 of the new head	owner
T5.9 (new, max+1)	carried inside T3's census answer as a caveat, no id	round-3 R21 bounds the SET of content classes and explicitly not the STATE ("tested, but sometimes long ago")	LIVE - no class may be called healthy, and nothing here can measure his install	tester
T5.10 (new, max+1)	not carried	5.137's trigger `body action reload` appears in ZERO shows of the shipped playlist and ZERO of the tester's corpus (11.218)	LIVE - the one measured false success on the new path is outside both soaks by construction	dispatchable (a soak that issues it)
T5.11 (new, max+1)	not carried	11.240 / b5-dso-design.md: the field has 527 lines of `body ... mode in_galaxy` in 14.sts alone; how much more of his corpus authors DSO content is unmeasured	LIVE - the migration's field scope is unknown under either reading of [Y17]	owner, then dispatchable
