set	id	state_read_at_source_2026-09-18	verdict	argument_one_clause
sec5	5.83	OPEN as an old-path record; the T4 INFORM was accepted by silence	OUT	a deliberate divergence, informed and accepted
sec5	5.84	OPEN - the Newton seed left at the queried date	OUT	old-path only, invisible to a new-path operator; an INSTRUMENT caveat, carried as such
sec5	5.85	OPEN - align_with does not align	BOTH	both-paths; T1.6; a first documented use now exists (5.97)
sec5	5.86	FIXED 2026-09-06 (F91) and 2026-09-06 (F96); one interface question left open at 11.216(j2)	OUT	closed; the pole-vs-no-direction question is carried at 5.148's node
sec5	5.87	OPEN - constellation_star acts on the previous selection	BOTH	both-paths; T1.6
sec5	5.88	OPEN - a missing star catalogue is reported NOWHERE	IN	R23 makes a limited catalogue NORMAL, so nothing tells an operator which of the two he is running; the cheapest of three fixes
sec5	5.89	OPEN - "Unknown viewing mode type" then carries on (assert(0) is a no-op in the shipped build)	BOTH	both-paths; a one-site fork
sec5	5.90	OPEN in its MECHANISM (list from the user dir, files from the data root, mismatch silent)	IN	the headline reading is withdrawn by R23 but the silent mismatch survives and lands on the intern's empty clone
sec5	5.91	OPEN - suntrace pen reads the VALUE of a key	BOTH	both-paths; SS-11, the script-surface owner's
sec5	5.92	FIXED	OUT	closed at the row
sec5	5.93	OPEN - a failed color line reports success	BOTH	both-paths; T1.6
sec5	5.94	OPEN - configuration's module block falls through	BOTH	both-paths; T1.6
sec5	5.95	OPEN - date's two smallest branches both lie	BOTH	both-paths; T1.6
sec5	5.96	OPEN - a recording diverges from what the author wrote	BOTH	both-paths; SS-12 decides an entire defect class
sec5	5.97	OPEN - the owner rewrote superscript.sts; the +267 added lines are UNEXAMINED and the corpus gate was not re-run	IN	the reference script is the tester's documentation AND the project's only functional test; NEVER CARRIED by the predecessor
sec5	5.98	FIXED 2026-09-06 (F94)	OUT	closed at the row
sec5	5.99	OPEN - b39_star.py's whole-frame illumination criterion	OUT	a harness instrument, not a product surface; needs a launch
sec5	5.100	FIXED (F114); one residual mint blocked on a host that can select a star	OUT	closed at the row
sec5	5.101	FIXED (F114); the Camera::lookTo 0.2 s floor spun out as 5.153	OUT	closed at the row
sec5	5.102	FIXED (timer = 0 in the fresh ASmooth branch); post-fix zero non-finite values	OUT	closed at the row
sec5	5.103	FIXED (nan in the dump)	OUT	closed at the row
sec5	5.104	FIXED for scaling; THE WIDER-SEAM CLASS QUESTION STAYS OPEN	IN	"state-preserving" commands that do not preserve state reach the operator; the other seams Core::init sets and reloadSystem rebuilds are unenumerated
sec5	5.105	OPEN - the OLD path dumps uninitialized dist	OUT	instrument-facing, retire-with-old class
sec5	5.106	OPEN - free flight changes what the ENVIRONMENT draws	IN	T4 cargo NEVER SENT; the atmosphere-flood sub-question is owed either way
sec5	5.107	OPEN - extent cache is a load-time latch; the owed count not taken	IN	new-path-specific (the cache is the new path's); the fix shape exists
sec5	5.108	OPEN - flag_sun_scaled has never had any effect	BOTH	both-paths; reviving it is a behaviour change, Vixy's
sec5	5.109	OPEN - altitude counted from the DISPLAY-scaled datum, read ONCE	IN	T1.5; he authors scenes on scaled bodies, and it is a standing hazard for every harness
sec5	5.110	OPEN - six #selected_* variables answer out of the uninitialized object	IN	a shipped script surface answers plausible fiction; T1.11
sec5	5.111	matched set FIXED (F87); the UNMATCHED set OPEN (the type slot, the body NAME, " (orbit centre)")	IN	the tester operates in FRENCH and the drawn readout's first line is still English; T1.14
sec5	5.112	OPEN - a version bump silently rewrites config.ini	IN	it arms on the DELIVERY mechanism itself; the tester's fix direction is stated (N7), the schedule is the owner's
sec5	5.113	OPEN - the uninitialized Object singleton at five call sites	IN	unaffected by F91/F96; T1.11
sec5	5.114	OPEN - every illuminate has GREEN and BLUE exchanged at the loader	BOTH	both-paths at the loader, but it is a VISIBLE colour defect on a shipped script surface; NEVER CARRIED; one discriminating launch owed
sec5	5.115	size bound + retention FIXED (F108/F116); the DENSITY half OPEN	IN	193 MB/h under his own corpus; the per-command echo design should be seen before it ships
sec5	5.116	OPEN - the script surface has no invalid state	BOTH	both-paths; a silent-success class a developer meets on day one
sec5	5.117	OPEN - 157 user-facing refusals written at L_DEBUG	BOTH	both-paths; the severity-vs-channel fork is Vixy's
sec5	5.118	OPEN - set stall_radius_unit filters instead of refusing	BOTH	both-paths; composed with 5.116's class decision
sec5	5.119	FIXED (the past-the-end iterator); the BEHAVIOUR question and the hardcoded font-path rider OPEN	BOTH	the rider hardcodes /home/planetarium/... paths - an installation fact a newcomer meets
sec5	5.120	OPEN - two colour names and two flags registered, routed, never built	BOTH	both-paths; retiring four registered names breaks any show that sets them (D9)
sec5	5.121	OPEN - ONE static translation table serves BOTH locales	BOTH	both-paths; the tester runs French, so the locale layer is his daily surface; unmeasured
sec5	5.122	OPEN - an argument KEY the handler never reads is unobservable	BOTH	both-paths; the authoring-silence class
sec5	5.123	OPEN - "did you mean" names the wrong argument	BOTH	both-paths; a census of searchSimilar* call sites is owed
sec5	5.124	OPEN - the DATA surface has the same silent-drop class, 189 lines of the field ssystem.ini	BOTH	data surface; forward-only (D9); routed SS-40/SS-41
sec5	5.125	OPEN - adopting the composed format silently drops four keys	IN	the composed format is the NEW path's authoring surface: adopting it loses a star's big halo and a body's skin with no diagnostic; NEVER CARRIED
sec5	5.126	OPEN - one authored value, two meanings: `halo = on` draws NOTHING on old and a halo on the new path	IN	a DATA-ONLY route to a two-path divergence that 11.52(b) parity work assumes cannot happen; NEVER CARRIED
sec5	5.127	OPEN for members (3)(4)(5) - the two-unit orbit_semimajoraxis, saveOrbit's double AU, the wrong class name	BOTH	orbit/anchor creator chain, both paths; (1)(2) fixed as 5.133/5.134
sec5	5.128	OPEN, record-only - the aim compensation undoes a FIXED offset x 90 deg while the draw applies fov/2	IN	the snap-back fork R28 did not touch; the config key view_offset is LATENT on the new path (armed by the first commanded move)
sec5	5.129	OPEN, record-only - a portrait window draws the dome 128 px low with a dead band above	IN	R21 puts the portrait window IN scope, so this is a cost the field may be paying
sec5	5.130	FIXED (F86)	OUT	closed at the row
sec5	5.131	CLOSED for the clone (pin bumped f4ceb208); the two install_src.sh:24 riders OPEN and unowned	IN	R2's residual: the install script's fallback has no `|| exit`, so cmake returns 0 and the build dies later
sec5	5.132	OPEN - a failed class copy prints "Completed copy of X" anyway	IN	on every install that lacks a class, ten empty directories are created silently - the intern's first launch
sec5	5.133	FIXED (F86/F93/F95 chain)	OUT	closed at the row
sec5	5.134	FIXED (F86)	OUT	closed at the row
sec5	5.135	OPEN - the OLD path rolls the view offset with the heading; the tester says it should not	IN	the tester has SEEN it; the fix lands on the comparison baseline, so it is an owner call
sec5	5.136	OPEN - app_locale does nothing whenever it differs from sky_locale	BOTH	both-paths; core architecture, 5.121's family; the app logs the locale it discards (D12)
sec5	5.137	OPEN, record-only, SUSPENDED on 11.55(i)	IN	a body an operator authors leaves the DRAWN path on reload while every readout still answers for it - a false success on the new path
sec5	5.138	FIXED (F96)	OUT	closed at the row
sec5	5.139	FIXED (F100)	OUT	closed at the row
sec5	5.140	OPEN - surface_point's orbit_lon is ninety degrees EAST; ROUTED to the tester	IN	a RATIFIED authoring key means two longitudes; blocks 5.21's two halves; the tester's word
sec5	5.141	FIXED (F99)	OUT	closed at the row
sec5	5.142	OPEN - two of the tester's own shows exhaust the uniform pool and ABORT the process; four decisions at 11.236(k)	IN	the sharpest fact against "ready": his own corpus kills the reference binary
sec5	5.143	OPEN - 14.sts empties the OLD path's dump half; retires with B8 and with the nested-modular-body design	OUT	an instrument hazard on the comparison baseline, not a user-facing divergence
sec5	5.144	OPEN - RSS +68.3 MB/h under his corpus, not saturating in 4.5 h	IN	a planetarium session is hours; the discriminating 8-12 h leg needs one yes/no
sec5	5.145	FIXED (F104, two solver steps per call)	OUT	closed at the row
sec5	5.146	OPEN - ~SharedBuffer hands a REFUSED SubBuffer back to the pool; the shape is given	IN	EntityCore; an indeterminate offset reaches vkCmdBindDescriptorSets; coupled to the owner's submodule push before the intern's clone
sec5	5.147	CLOSED (F106 fixed the rewrite tool)	OUT	closed at the row
sec5	5.148	OPEN - tracking a ZERO-VECTOR body writes 66 NaNs into the old path's view state	IN	reachable from two shipped commands on 19 launch-state records; the owner's call with 11.216(i)
sec5	5.149	OPEN - the constructor seeds every iterative solver at JD 0	IN	the CAUSE of 5.145's 1.198 deg; today's two-step fix pays for it rather than removing it
sec5	5.150	iterative half FIXED (F111); the SPECIAL-ORBIT half OPEN with a measured null	OUT	measured bit-identical on Mars and Pluto over 1790 calls; carried as a caveat, not a gate
sec5	5.151	OPEN - [Sedna]'s shipped orbit is not the authored one	IN	shipped DATA the tester owns; forward-only (D9); one body's orbit is wrong in the field
sec5	5.152	OPEN - a SECOND instance ABORTS instead of refusing cleanly	IN	the intern will run two instances in week one; the refusal line never reaches the console
sec5	5.153	OPEN - a commanded view duration under 0.2 s is not honoured by the DRAWN path	IN	new-path-specific: at duration 0.1 the two paths are 38.35 deg apart at the instant old lands; NEVER CARRIED
sec5	5.154	OPEN - the trail walker leaves the unhidden body's seed one deltaTrail stale	IN	new-path-only, no old shape to restore; 4.33 arcsec on one frame after an unhide; NEVER CARRIED
# SET 2 - section 13.A rows (Vixy's suspended decisions). The table's own rule: "An item leaves
#   this table only by resolution", so every row present is by construction not closed.
#   command: awk '/^### 13\.A/,/^### 13\.B/' claude/INTENT.md | /usr/bin/grep -cE '^\| *[A-Z]+[0-9]+ *\|'
#   => 16 ; members: A4 A7 A15 A16 A17 A18 A21 A22 A26 A27 A28 A30 A40 A41 A42 A44
sec13A	A4	NARROWED; the suspended half RESOLVED [R7]; the remaining items are implementation detail	OUT	no suspended decision left; the parallels set and the Sun-grid gap are work, not gates
sec13A	A7	NARROWED; ANSWERED by round-3 R16/R17 to the reachable configuration	OUT	multi-star per-instance halo colour is unreachable on shipped content
sec13A	A15	OPEN - the milkyway/AoI constants; L1 judged one of four axes	IN	the fade threshold and band are a user-visible appearance the audience sees; T4's live member
sec13A	A16	OPEN - UNIVERSE BodyType enum, add or drop	OUT	structural isSystem() makes it non-load-bearing; no user surface
sec13A	A17	OPEN residual (i) - the disambiguation rule for nested-subsystem selection	BOTH	selection is an operator surface; unexercised on shipped content today
sec13A	A18	NARROWED; residual RESOLVED [R6]	OUT	no suspended decision left
sec13A	A21	OPEN - section 6.2 inline policy	OUT	internal drafting policy, no user or developer surface
sec13A	A22	OPEN - section 6.3 BodyType collapse sign-off	OUT	zero consumers/producers measured; internal
sec13A	A26	NARROWED; the big-texture threshold ratified at 20%	OUT	the remainder is internal (regime gate constants, tesselation tick)
sec13A	A27	NARROWED; residual RESOLVED [R9]	OUT	no suspended decision left
sec13A	A28	RE-ASK; RESOLVED [R1] - ring + planet-on-rings shadows ALWAYS ON	OUT	answered; the dev/test toggle retires with the old path
sec13A	A30	(i) RESOLVED; (ii)(iii) open - star-system reachability and identity	BOTH	R17 keeps the multi-star case live inside one system; no shipped content reaches it
sec13A	A40	OPEN - teardown vs an incomplete frame; 5.59's fork	IN	the app does not quit; three launches decide it, and a planetarium operator quits every night
sec13A	A41	OPEN - the G4 EARLY-visibility gate: 2 px or 3.07 px	IN	a one-token value that decides when a body starts drawing; shipped behaviour preserved as-if, the value is the owner's
sec13A	A42	OPEN, with a different question since R29 - the swap distance is the tester's number	IN	it GATES T1.9 (5.53(b)), the only new-path-specific visible divergence on the two bodies he shows most
sec13A	A44	OPEN - the RING shadow caster is the one SCALED shadow radius	BOTH	unexercised on shipped content (no scaled body has rings), so it can wait for an answer rather than a guess
# SET 3 - section 13.B rows (Fable territory). Same table rule: present => not closed.
#   command: awk '/^### 13\.B/,/^### 13\.C/' claude/INTENT.md | /usr/bin/grep -cE '^\| *[A-Z]+[0-9]+ *\|'
#   => 26 ; members: B1 B2 B3 B4 B5 B7 B8 B10 B12 B14 B15 B17 B18 B31 B21 B24 B30 B33 B34 B35 B36
#   B37 B38 B27 B39 B41
sec13B	B1	OPEN - S4/G5 handoff implementation	OUT	Vixy-paced architectural line; the NOT-blocking list's own member
sec13B	B2	OPEN - D4 surface streaming + RING asteroid	OUT	same exclusion as B1; A6's decision untouched
sec13B	B3	OPEN - H4 shadow remainder	OUT	beyond-shipped-content; needs counterfactual scenes
sec13B	B4	OPEN - CameraAnchors design	BOTH	anchors are hand-edited AND script-created (both channels live); no measured divergence today
sec13B	B5	OPEN - executor-mode dissolution; the DSO remainder now has a design (11.240)	IN	the DSO layer is content the tester's shows load; five slices, the first decision-free
sec13B	B7	OPEN - the 11.15d shutdown segfault	IN	an intermittent teardown class; thirteen clean quits is a rate, not a proof
sec13B	B8	OPEN by definition - old-path relocation at removal	OUT	transparent operation KEEPS old present; the NOT-blocking list's own member
sec13B	B10	DONE (11.71); the anti-stuck floor VALUE stays suspended	OUT	swept at 5.18
sec13B	B12	OPEN - the Sun/star near-surface family	BOTH	content-slice work gated on A41 and A42; not a divergence today
sec13B	B14	OPEN - W0/drift/loaded-6 SUSPENDED	IN	T3's data package: his baselines shift with the next spacecrafter-data delivery (D9 forward-only)
sec13B	B15	OPEN on the invisible-CHILDREN half	BOTH	a freshness bound on a value nothing visibly reads today
sec13B	B17	OPEN - the view_offset port; R28 closed the frame question	IN	5.128's snap-back fork and 5.135's old-path roll both live here; T1.13
sec13B	B18	the SKY-LOCK half closed end to end; (a) dissolved, (b) freeMode transparency stated not implemented	BOTH	a stated requirement with no implementation and no measured divergence
sec13B	B21	DONE (11.72)	OUT	the step FEEL is Vixy's, carried at fable-dispatch section 2
sec13B	B24	CORE LANDED; spellings answered	OUT	the authoring path exists; its residues are 5.125/5.126, swept there
sec13B	B27	STEPS 1-2 DONE; the tail LANDED 2026-07-25	OUT	5.5 closed on it
sec13B	B30	OPEN - new-path frozen-scene micro-instability; FIX SUSPENDED for Vixy	IN	the one member of the stability class NO instrument here reads (the soak reads no pixel) - the map's own unmapped edge
sec13B	B31	OPEN on the session file and the ledger	IN	T1.8's decision residue; save/restore is an operator workflow
sec13B	B33	OPEN - the QUERY half of the control surface reads the OLD path	IN	getHeading/getViewOffset/getMountMode answer old while the new path draws - a readout-vs-drawn divergence
sec13B	B34	OPEN - operator actions that land on the OLD path only; the interactive view ramp is measured	IN	arrow-key look-around does not move the drawn camera - the largest measured dual-seam
sec13B	B35	OPEN - config-only capabilities	IN	they BOUND what "the new path" can express; T2
sec13B	B36	OPEN - declared new-path capabilities with NO driver	IN	same denominator argument; T2
sec13B	B37	OPEN - UI-only capabilities, unscriptable	IN	a show cannot replay what an operator does live; T2 and T5's joystick edge
sec13B	B38	OPEN - eight command-surface members, every one both-paths	BOTH	resolved into T1.6 by F47; both-paths, so T0 excludes them and R0's reading is open
sec13B	B39	DONE 2026-07-30; the residue is a user-visible semantic change whose scheduling is the owner's	BOTH	R17 makes the multi-star case reachable as a want, not as content
sec13B	B41	OPEN - the implicit PRELOAD signal on anticipated visibility	IN	owner-stated 11.233(d); decision-free once the zoom-half anchor is chosen; S-M
# SET 4 - DECISIONS_PENDING.md open items.
#   command: /usr/bin/grep -ohE '^\*\*D[0-9]+' claude/DECISIONS_PENDING.md | sort -u -V | wc -l => 37
#   ids D1..D37, every one carrying a resolution arrow; the file's own last update line
#   (2026-09-05, F88) states "The open set remains EMPTY", and D37 - the last non-terminal item -
#   CLOSED on round-3 R14+R15.
decpend	(none)	THE OPEN SET IS EMPTY, measured: 37 of 37 ids carry a propagated answer	OUT	nothing here reaches the map; the file stays live as a channel, not a backlog
# SET 5 - FEATURE_REQUESTS.md entries.
#   command: /usr/bin/grep -c '^### \[' claude/FEATURE_REQUESTS.md => 13, minus the
#   "### [YYYY-MM-DD] Short title" template = 12 real entries.
featreq	2026-07-21 fly-to-another-star	accepted - tracked as 13.A A30	OUT	swept at A30
featreq	2026-07-21 save-camera-to-anchor.ini	under consideration - folded into 13.B B4	OUT	swept at B4
featreq	2026-07-29 scedit TUI	accepted - tracked in util/scedit/INTENT.md	OUT	tooling for the script-surface owner, not a deployment gate
featreq	2026-08-26 parallel scripts	new, untriaged; the tester replied "no need" (round-3 R25)	OUT	the tester declined it; whether the owner keeps it as his own is a one-line call, carried in the map's YOURS list
featreq	2026-08-26 script-bound key/joystick bindings	new, untriaged	OUT	a capability request, not a divergence
featreq	2026-08-26 script triggers	new, untriaged	OUT	a capability request
featreq	2026-08-30 truncated keywords	new, untriaged	OUT	a capability request
featreq	2026-08-30 `#!` in-place annotation	LANDED 2026-08-31	OUT	delivered
featreq	2026-08-30 mod/div/mul aliases	accepted, landed	OUT	delivered
featreq	2026-08-31 LLM assistance over the docs	new, untriaged for two decisions	OUT	scedit tooling
featreq	2026-08-31 command provenance + scedit TCP link	accepted, tracked as 11.186(b)(c)	OUT	scedit tooling
featreq	2026-09-12 implicit preload signal	owner-stated; opened as 13.B B41	OUT	swept at B41
# SET 6 - SCRIPT_SURFACE.md entries (the script-surface owner's channel).
#   command: /usr/bin/grep -ohE 'SS-[0-9]+' claude/SCRIPT_SURFACE.md | sort -u -V | wc -l => 43
#   ids SS-1..SS-43. Sixteen carry a terminal status (DONE by you / ANSWERED / RESOLVED /
#   REMOVED); the rest are OPEN and every one of them is the TESTER'S to answer.
scriptsurf	SS-1	DONE by you (the no-break space)	OUT	closed in the channel
scriptsurf	SS-2	line FIXED by you; the QUESTION is not - a 2020 reference attests the spelling	IN	the only evidence about a capability that may have gone away; the tester's
scriptsurf	SS-3	DONE by you (datetime_display_* respelled)	OUT	closed in the channel
scriptsurf	SS-4	both lines REMOVED; question still open, same reason as SS-2	IN	same class as SS-2
scriptsurf	SS-5	both lines REMOVED; the QUESTION is still the open one	IN	same class as SS-2
scriptsurf	SS-6	the `=` is GONE; the second half (does a value <=1.0 take effect) rides 5.118	IN	swept also at 5.118
scriptsurf	SS-7	DONE by you (no indented # left)	OUT	closed in the channel
scriptsurf	SS-8	line FIXED by you; the history question stands	IN	same class as SS-2
scriptsurf	SS-9	HALF and HALF - `landscape ... spacecraft on` survives byte-identical	IN	a documented parameter no code reads, on a line still in his reference file
scriptsurf	SS-10	line REMOVED; the question is still the valuable one	IN	same class as SS-2
scriptsurf	SS-11	OPEN - suntrace/sun_trace's intent	IN	swept also at 5.91; the script surface is his
scriptsurf	SS-12	OPEN - what a recording should CONTAIN	IN	decides an entire defect class (5.96)
scriptsurf	SS-13	OPEN - media subtitle toggle, the workflow half	IN	swept also at 5.36
scriptsurf	SS-14	OPEN - does any show write `configuration module ...`	IN	swept also at 5.94
scriptsurf	SS-15	OPEN - is the startup date mode ever written `Preset`	IN	swept also at 5.95
scriptsurf	SS-16	ANSWERED BY ACTION - he fixed the file in place	OUT	closed in the channel
scriptsurf	SS-17	ANSWERED - the fix is authorised and landed (F94)	OUT	closed; one doc token (superscript.sts:1529) is his to apply
scriptsurf	SS-18	OPEN - 15 more teach-vs-do divergences, bulk-answerable	IN	the reference script is the project's only functional test
scriptsurf	SS-19	OPEN, FYI - the file never exercises 12 of the 62 commands	OUT	a coverage fact, no decision owed
scriptsurf	SS-20	RESOLVED in the tree; live confirmation still owed	OUT	closed in the channel
scriptsurf	SS-21	OPEN - two advice lines with no `#` execute	IN	his file; two lines the engine runs as commands
scriptsurf	SS-22	ANSWERED by the owner - mod/div/mul become real aliases	OUT	closed in the channel
scriptsurf	SS-23	OPEN - the language examples `text "..."`	IN	his file
scriptsurf	SS-24	OPEN, AMENDED - a `struct if` with no `struct if end`, and the catalogue under # STRUCT is worse	IN	his file; a structural error in the reference script
scriptsurf	SS-25	OPEN, confirmed on a running engine - panorama5.sts's `struct if end` closes nothing	IN	his shipped show
scriptsurf	SS-26	OPEN - `media action play ... pause on` does not start the video paused	IN	question (a) decides documentation fix vs compatibility problem
scriptsurf	SS-27	OPEN - `transition action skip duration 1`	IN	his file
scriptsurf	SS-28	OPEN - the spelling `in_stellar_system`	IN	his file; an authoring-grammar question
