id	arm	family	file	line	channel	severity	sink	class	WHAT	CONS	PREV	CAUSE	CONT	OVR	SC	text	note
F58-A029	A	command	src/interfaceModule/app_command_interface.cpp	1509	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'dso' : unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A030	A	command	src/interfaceModule/app_command_interface.cpp	1527	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'dso3d' : unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A031	A	command	src/interfaceModule/app_command_interface.cpp	1545	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"Error loading dso."	reports that an operation failed without naming a reason, a consequence or an action ('error <op>', 'Error loading X.')
F58-A032	A	command	src/interfaceModule/app_command_interface.cpp	1549	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'dso2D': unknown action value")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A033	A	command	src/interfaceModule/app_command_interface.cpp	1552	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'dso2D' : unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A034	A	command	src/interfaceModule/app_command_interface.cpp	1573	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command_personeq: Unknown 'action' value"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A035	A	command	src/interfaceModule/app_command_interface.cpp	1580	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command_'personeq' : unrecognized or malformed argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A036	A	command	src/interfaceModule/app_command_interface.cpp	1607	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'body_trace': unknown pen value")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A037	A	command	src/interfaceModule/app_command_interface.cpp	1625	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'body_trace' : unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A038	A	command	src/interfaceModule/app_command_interface.cpp	1876	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'color': unknown expected argument 'property'")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A039	A	command	src/interfaceModule/app_command_interface.cpp	1882	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'color': unknown property")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A040	A	command	src/interfaceModule/app_command_interface.cpp	1958	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	_("command 'illuminate': filename not found")	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A041	A	command	src/interfaceModule/app_command_interface.cpp	1965	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'illuminate': argument unknown")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A042	A	command	src/interfaceModule/app_command_interface.cpp	1972	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command_'print': malformed command"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A043	A	command	src/interfaceModule/app_command_interface.cpp	1979	clog	LOG_TYPE::L_WARNING	LOG_FILE::SCRIPT	INFO	-	-	-	-	-	-	-	oss.str()	the `print` command's own user output, written TWICE (SCRIPT + INTERNAL) at L_WARNING - a deliberate user message carrying the severity of a fault
F58-A044	A	command	src/interfaceModule/app_command_interface.cpp	1980	clog	LOG_TYPE::L_WARNING	LOG_FILE::INTERNAL	INFO	-	-	-	-	-	-	-	oss.str()	the `print` command's own user output, written TWICE (SCRIPT + INTERNAL) at L_WARNING - a deliberate user message carrying the severity of a fault
F58-A045	A	command	src/interfaceModule/app_command_interface.cpp	2114	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command_'set': malformed command"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A046	A	command	src/interfaceModule/app_command_interface.cpp	2222	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command_'set': unknown argument"	the vocabulary paths: the record is completed by searchNeighbour's '<token> is unknown. Did you mean <x> ?' [app_command_init.cpp:368-387], which names the token and offers ONE Levenshtein guess - a guess is not an enumeration and the distance is unbounded, so a wildly wrong token still gets a confident suggestion || searchSimilarSet is passed args.begin()->first, not the offending setName - with several pairs on one `set` line the suggestion is about the wrong token
F58-A047	A	command	src/interfaceModule/app_command_interface.cpp	2239	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"Bad shutdown request."	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A048	A	command	src/interfaceModule/app_command_interface.cpp	2259	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'configuration' missing name parameter"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A049	A	command	src/interfaceModule/app_command_interface.cpp	2267	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command 'configuration' filename not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A050	A	command	src/interfaceModule/app_command_interface.cpp	2284	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'configuration': missing star_lines action load_star argument"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A051	A	command	src/interfaceModule/app_command_interface.cpp	2286	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'configuration': unknown star_lines action argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A052	A	command	src/interfaceModule/app_command_interface.cpp	2297	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'configuration', star_navigator missing name argument"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A053	A	command	src/interfaceModule/app_command_interface.cpp	2306	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command 'configuration' filename not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A054	A	command	src/interfaceModule/app_command_interface.cpp	2310	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'configuration', star_navigator missing mode argument"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A055	A	command	src/interfaceModule/app_command_interface.cpp	2325	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'configuration': unknown starNavigator mode parameter"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A056	A	command	src/interfaceModule/app_command_interface.cpp	2333	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'configuration': unknown starNavigator action argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A057	A	command	src/interfaceModule/app_command_interface.cpp	2335	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'configuration': unknown module argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A058	A	command	src/interfaceModule/app_command_interface.cpp	2347	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'configuration': unknown action value"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A059	A	command	src/interfaceModule/app_command_interface.cpp	2349	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'configuration': unknown argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A060	A	command	src/interfaceModule/app_command_interface.cpp	2358	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'constellation': missing name"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A061	A	command	src/interfaceModule/app_command_interface.cpp	2370	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'constellation': missing type"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A062	A	command	src/interfaceModule/app_command_interface.cpp	2392	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'constellation': unknown type"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A063	A	command	src/interfaceModule/app_command_interface.cpp	2405	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	_("command 'externalviewer' : fileName too short")	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A064	A	command	src/interfaceModule/app_command_interface.cpp	2417	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command_externalViewer media fileName not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A065	A	command	src/interfaceModule/app_command_interface.cpp	2423	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command_externalViewer audio fileName not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A066	A	command	src/interfaceModule/app_command_interface.cpp	2429	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command_externalViewer shell script fileName not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A067	A	command	src/interfaceModule/app_command_interface.cpp	2435	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command_externalViewer shell script fileName not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A068	A	command	src/interfaceModule/app_command_interface.cpp	2441	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command_externalViewer swf fileName not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A069	A	command	src/interfaceModule/app_command_interface.cpp	2447	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	N	-	-	-	-	"command_externalViewer png fileName not found"	names the offending value (file, image, HP number, object) and nothing else: no consequence, no action, no valid-value shape
F58-A070	A	command	src/interfaceModule/app_command_interface.cpp	2452	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	N	N	N	-	-	-	-	"command 'externalviewer': system error"	an internal-assertion message with no user-facing content ('unexpected error in command_X', 'system error'): the reader learns nothing at all
F58-A071	A	command	src/interfaceModule/app_command_interface.cpp	2464	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'externalviewer' : unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A072	A	command	src/interfaceModule/app_command_interface.cpp	2559	clog	LOG_TYPE::L_INFO	LOG_FILE::SCRIPT	INFO	-	-	-	-	-	-	-	oss.str()	heading from/to
F58-A073	A	command	src/interfaceModule/app_command_interface.cpp	2563	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'heading' : unknown argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A074	A	command	src/interfaceModule/app_command_interface.cpp	2586	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'meteors' : no zhr argument"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A075	A	command	src/interfaceModule/app_command_interface.cpp	2607	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command 'landscape' : missing rotation parameter"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A076	A	command	src/interfaceModule/app_command_interface.cpp	2611	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'landscape' : invalid action parameter"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A077	A	command	src/interfaceModule/app_command_interface.cpp	2619	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'landscape' : invalid action parameter"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A078	A	command	src/interfaceModule/app_command_interface.cpp	2621	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'landscape' : unknown argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A079	A	command	src/interfaceModule/app_command_interface.cpp	2636	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command 'screen_fader' : invalid alpha parameter"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A080	A	command	src/interfaceModule/app_command_interface.cpp	2652	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	_("Command 'text': argument 'name' needed")	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A081	A	command	src/interfaceModule/app_command_interface.cpp	2672	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	_("Command 'text': argument 'string' needed")	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A082	A	command	src/interfaceModule/app_command_interface.cpp	2762	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	_("Command 'text': parameter 'azimuth' or 'altitude' needed")	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A083	A	command	src/interfaceModule/app_command_interface.cpp	2782	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'text': unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A084	A	command	src/interfaceModule/app_command_interface.cpp	2791	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"Error loading sky culture from path specified."	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A085	A	command	src/interfaceModule/app_command_interface.cpp	2793	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	"command_sky_culture : path or action missing"	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
