src	tgt	srcclass	homes	mech	sites	window
INTENT.md	5.30	B-stub-other	archived-entry	no-marker	INTENT.md:1012	non-discriminating occlusion asserts are SUPERSEDED as the B3 instrument (b24_screen keeps them as its own regression gate, still green). ~~**PART 2 REMAINS**: §5.30 … and the D1(b) grounded-slice parent-depth prefill~~ **PART 2 DELIVERED 2026-07-25 (F1-P2, §11.105; code `d28e67d3` + `ded43e5a`, harness `db4207f`/`0645
11.101	5.31	A-entry	archived-entry	no-marker	INTENT/11.101.md:44	tude → §5.32. **§11.54(i) false at source**: module ticks come from the draw passes, and B19's own tick moved hidden bodies into the ungated orbit-line sweep → §5.31, A34. **§5.27 mechanism corrected** (a load-time LATCH, not absence-of-scaling ⇒ D21's option set incomplete; §2(a)'s layer rule answers it). Hypothesis R
11.165	5.32	B-stub-11	register-stub	no-marker	INTENT.md:912	le the paragraph's LATCH mechanism is confirmed and the latch is now dead, D8 leak closed); **§11.108(e) ← §11.128(a2)** (*"same fix as the row's"* CORRECTED — §5.32's fix fires once per frame and cannot close a same-frame burst; the entry's measurement reproduced to the digit four sessions later); **§11.98(c) ← §11.11
INTENT.md	5.46	B-stub-other	register-stub	no-marker	INTENT.md:1034	37** (~~a hidden STAR still illuminates — measured, Vixy's call~~ — **the MEASUREMENT'S READING IS REFUTED, see the 2026-08-26 block at the end of this row**), §5.46, and the pre-existing reload loss of 2 hidden bodies. ORIGINAL SPEC: four obligations, one semantic: **(1) no annotation of a hidden body reaches the fram
11.122	5.51	A-entry	register-stub	no-marker	INTENT/11.122.md:3	026-07-31, Opus 5 executor dispatched by Claude Fable 5, task F8; code `1e44b639`, harness `6d68edb`/this entry). Row B7 stays OPEN at the tightened bound; NEW §5.51; one OPEN unattributed residual, stated as such **[STATE 2026-08-29, supervisor acceptance of F49 → §11.125(i)/§5.59: SUPERSEDED — closed as posed; surviv
11.125	5.51	A-entry	register-stub	no-marker	INTENT/11.125.md:3	EARDOWN CRASH, AND IT BELONGS TO THE FIX BEFORE IT: `body action reload` + composed OJM bodies + quit ⇒ SIGSEGV, 25 of 26 cycles, attributed single-variable to §5.51's virtual destructor; the sanitizer mix came back silent, TSan cannot run on this driver, and §11.122(i)'s HUNG residual is REFUTED-AND-REPLACED (2026-07-
11.127	5.52	B-stub-11	register-stub	register-stub/B@INTENT.md:329	INTENT.md:844	raction's clothes (2026-07-31, Opus 5 executor dispatched by Claude Fable 5, task F18; code `94eb3f03`/`2117ccb0`, harness `a0671a4`/`9aec4b3`/this entry).** **§5.52**: the row named two mechanisms and excluded neither, so the instrument came first. Candidate 2 (`bind` returning no layout) **REFUTED** — `layout` non-nu
11.127	5.53	B-stub-11	register-stub	no-marker	INTENT.md:844	bstitution) was BUILT and **WITHDRAWN** — it never fired while the preview's pixels were on screen, and a diagnostic that cannot be shown to fire is fiction. **§5.53(b) MEASURED**: old 180 px (`body_bigbody.cpp:441`), new 409.6 px, ratio 2.28; recommendation to align while both paths exist, NOT decided (VRAM residency 
11.163	5.56	A-entry|B-stub-11	register-stub	register-stub/A@INTENT.md:337;register-stub/B@INTENT.md:337	INTENT.md:909;INTENT/11.163.md:41	      | 9 | **§5.56** non-virtual loader dtors | present | new | **UNCHANGED state, GROUND REFUTED** | measured under gdb — (d) | || RTH_MOON" are FALSE at source) — a THIRD authority-inversion shape, §5-row-stale-against-its-§13-row, which F42's stub↔entry sweep structurally cannot reach; **§5.56**'s stated ground REFUTED and MEASURED — `BasicMeshLoader` declares a user-declared `virtual ~BasicMeshLoader()` with a body, so "nothing for a destructor
11.122	5.59	A-entry|B-stub-11	register-stub	no-marker	INTENT.md:833;INTENT/11.122.md:3	 B7 stays OPEN at the tightened bound; NEW §5.51; one OPEN unattributed residual, stated as such **[STATE 2026-08-29, supervisor acceptance of F49 → §11.125(i)/§5.59: SUPERSEDED — closed as posed; survives as §5.59 (open) + the ARM C sub-question; see (i)]**.** ||  one OPEN unattributed residual, stated as such **[STATE 2026-08-29, supervisor acceptance of F49 → §11.125(i)/§5.59: SUPERSEDED — closed as posed; survives as §5.59 (open) + the ARM C sub-question; see (i)]**.** || line fix with a 13-destructor blast radius, its own dispatch. ~~**OPEN unattributed residual**~~ **[STATE 2026-08-29, supervisor acceptance of F49 → §11.125(i)/§5.59: SUPERSEDED — closed as posed; survives as §5.59 (open) + the ARM C sub-question]**: 2 HUNG in the first post-fix arm (p = 0.0099 vs 0/108) — both draw-lo || wn dispatch. ~~**OPEN unattributed residual**~~ **[STATE 2026-08-29, supervisor acceptance of F49 → §11.125(i)/§5.59: SUPERSEDED — closed as posed; survives as §5.59 (open) + the ARM C sub-question]**: 2 HUNG in the first post-fix arm (p = 0.0099 vs 0/108) — both draw-loop stalls the fixed code cannot reach, **not repr
11.126	5.59	A-entry|B-stub-11	register-stub	register-stub/B@INTENT.md:343	INTENT.md:842;INTENT/11.126.md:24;INTENT/11.126.md:3	s handed back only while its manager is alive, and a body is destroyed only after the frames that draw it. The 96 % reproducer goes 27 FIRE / 30 → 0 FIRE / 30. §5.59's fix was BUILT, MEASURED, and WITHDRAWN — it converts that regime's hang into a crash (2026-07-31, Opus 5 executor dispatched by Claude Fable 5, task F19 ||     - **(g) §5.59: the fix was built, measured, and WITHDRAWN — and this is the entry's most useful negative [measured, `f19_stall/THREE_ARM_TABLE.txt`, `f19_repro_P/`, `f1 || ount); quiet mix **N=54, 54 CLEAN**; validation **0 VUID both entries with `AXIS=on`** (F16's exclusion retired), channel positive-controlled; battery green. **§5.59's fix was BUILT, MEASURED and WITHDRAWN**: a deterministic three-arm reproducer (`f19_stall.sh`, 2/2 each: HUNG → rc=139 → rc=0) says the cancellation wor
11.165	5.59	A-entry|B-stub-11	register-stub	no-marker	INTENT.md:912;INTENT/11.165.md:50	accepted only with magnitude AND mechanism predicted from the attributed cause"*), **both are now in hand and neither belongs to this entry**: the mechanism is §5.59's and the magnitude is §11.125's. So the honest state of §11.122(i) is not `OPEN` but **`SUPERSEDED — the residual is closed as posed; what survives of it || 9's and the magnitude is §11.125's. So the honest state of §11.122(i) is not `OPEN` but **`SUPERSEDED — the residual is closed as posed; what survives of it is §5.59 (open) and one unmeasured sub-question (why those two, ARM C not run)`**. The proposal, in the two homes' own forms: **strike** `OPEN unattributed residua || 2(i) ← §11.125(i)** (REFUTED-as-posed and replaced — ARM P 3/54 vs ARM R 1/54, p = 0.31, the pre-fix binary hung; mechanism = the untimed `hasCompleted.wait` ⇒ §5.59 at 3.7 %; NOT re-attributed: why those two, ARM C unrun); **§11.101(f) ← §11.152** (the untested timing prediction REFUTED at both ends — startup latches 
INTENT.md	5.59	B-stub-other	register-stub	no-marker	INTENT.md:1015	l is settled as posed**: the binary theory is REFUTED (3/54 post-fix vs 1/54 pre-fix, p=0.31; the pre-fix binary, 0 in 122 before, hung here) and replaced by **§5.59** — `DrawHelper::waitFrame`'s untimed atomic wait, which the teardown cannot interrupt because the same main loop services it; confirmed on 4/4 hangs by t || ion destruction entry points; `~App` stops the drawing worker before destroying what it records). **What is LEFT on this row is the HUNG class alone, and it is §5.59** — the HUNG halves of the two arms are indistinguishable (3/30 vs 1/30, p = 0.30) BY DESIGN: §5.59's fix was built, measured and WITHDRAWN, because acros || What is LEFT on this row is the HUNG class alone, and it is §5.59** — the HUNG halves of the two arms are indistinguishable (3/30 vs 1/30, p = 0.30) BY DESIGN: §5.59's fix was built, measured and WITHDRAWN, because across 3 fixed arms / 60 cycles **every cycle that entered the cancellation path died (3 of 3)** where th
11.134	5.62	B-stub-11	register-stub	register-stub/A@INTENT.md:349	INTENT.md:856	ion, so it could never have carried the shifted observable — the discriminating leg is the CHILD in a new epoch, the pre binary being the environment anchor. **§5.62's `active.lock` statement REFUTED**: F26's first run launched with a stale lock, the rotation branch positively fired (`EntityCore-logs-178567923203326456
11.129	5.63	A-entry	register-stub	register-stub/A@INTENT.md:351	INTENT/11.129.md:7	    - **(b) WHAT THE §5.63 ATTEMPT EXCLUDED — and one thing it CORRECTED about the row itself.**
5.89	5.79	B-stub-5	register-stub	no-marker	INTENT.md:400	8 are invariant-checks whose surviving handling is named** and **51 are unreachable with the negative grounded at a `file:line`**; **no new §5 row is minted** (§5.79's criterion met by none). **THE ROW'S OWN REACH CLAIM IS CORRECTED AND WIDENED**: *"a one-word typo in the user's `config.ini`"* is not the whole surface 
11.144	5.80	A-entry	register-stub	no-marker	INTENT/11.144.md:17	    - **(b) THE ROW'S OWN TEXT IS CORRECTED ON ONE POINT, and the correction is measured.** §5.80 says the losing convention *"is used by `moveTo`'s free branch, `descend`, `moveEyeRel` and `setFreeMode(false)` alike"*. Measured: `descend` and `moveEye
11.153	5.80	A-entry	register-stub	no-marker	INTENT/11.153.md:15	    - **(b) WHY ONE AUTHORITY AND NOT FOUR CORRECTED EXPRESSIONS (I2, and it is the defect's own shape).** §5.80/§11.144 named THREE conversion sites. There are **four**: `getPlace()` is the fourth `[observed: Camera.cpp:41-54]`, and its own header doc already promis
11.157	5.80	A-entry	register-stub	no-marker	INTENT/11.157.md:33	      - **AFFECTED, SUPERSEDED — documented, deliberately NOT re-baselined:** `f34_convention.py`. Its C3 gates assert convention A, which is the defect §5.80 named and F40 removed, so on any binary from `18b6f13f` they fail BY CONSTRUCTION. Re-pointing them would put the same claim in two homes, because `f40_in
11.160	5.89	B-stub-11	register-stub	no-marker	INTENT.md:903	irst; recorded anyway because the fall-through would be a `return true` reporting a SUCCESSFUL selection with `selected_object` already committed at `:2387`. **§5.89's own reach is CORRECTED and widened**: the guard sits OUTSIDE both `firstTime` blocks (`core.cpp:300-433`, `:449-495`; `firstTime = 0` at `:643`), `Core:
11.101	5.104	A-entry	register-stub	no-marker	INTENT/11.101.md:23	FUTED**, in the superseder's own words: *"**§11.101(f)'s UNTESTED PREDICTION IS REFUTED** — and the refutation names a defect the prediction could not see: NEW §5.104"* (§11.152(i)). Measured on the PRE binary, which still carried the latch: after `body action reload` the rover is at `|ecl| = 1737.400 km` — **the same 
11.152	5.104	A-entry	register-stub	no-marker	INTENT/11.152.md:35;INTENT/11.152.md:53	    - **(i) §11.101(f)'s UNTESTED PREDICTION IS REFUTED — and the refutation names a defect the prediction could not see: NEW §5.104.** The prediction was that `body action reload` should MOVE a composed rover, because the startup latch and the reload latch would bake different points  || ything scale-dependent — F39's own reload leg reads 1737.40 km for that reason and not because the fix failed. **[SUPERSEDED 2026-08-26 by F41 → §11.155(c)(i): §5.104 is FIXED and this warning is void from code `d6aec251`. F39's own gate re-run on the post binary reads `moonDatum = 8687.00 km` / `scaling = 5` in the re
11.155	5.104	A-entry	register-stub	no-marker	INTENT/11.155.md:57	row reads `moonDatum = 8687.00 km`, `scaling = 5`** where §11.152's post column recorded 1737.40 — **§11.152(p)(5)'s standing warning is hereby SUPERSEDED**: *"§5.104 … will bite any harness that uses `body action reload` and then measures anything scale-dependent"* was true of `7ef11aca` and is not true from `d6aec251
11.156	5.104	A-entry	register-stub	no-marker	INTENT/11.156.md:87	      | **§11.101(f)** | §11.152 | *"§11.101(f)'s UNTESTED PREDICTION IS REFUTED"* (`reloadCurrentSystem` re-applies no display scaling at all ⇒ §5.104) |
11.165	5.104	A-entry|B-stub-11	register-stub	no-marker	INTENT.md:912;INTENT/11.165.md:10	-26) | `INTENT/11.101.md` (**only home**) | *"§11.101(f)'s UNTESTED PREDICTION IS REFUTED — and the refutation names a defect the prediction could not see: NEW §5.104"* | || C unrun); **§11.101(f) ← §11.152** (the untested timing prediction REFUTED at both ends — startup latches scaling 1 and `reloadCurrentSystem` re-applies none ⇒ §5.104 — while the paragraph's LATCH mechanism is confirmed and the latch is now dead, D8 leak closed); **§11.108(e) ← §11.128(a2)** (*"same fix as the row's"* 
5.27	5.104	A-entry	register-stub	no-marker	INTENT/5.27.md:31	 dead — done, and §11.101(f)'s reload prediction is **REFUTED** for a reason it could not see (`reloadCurrentSystem` re-applies NO display scaling at all ⇒ NEW §5.104); (ii) the acceptance criterion is the uniform dilation — gated as the table above; (iii) the REACH half is left **bit-identical by construction** (`upda
11.144	5.106	A-entry|B-stub-11	register-stub	no-marker	INTENT.md:875;INTENT/11.144.md:33	2′ E, 75 m, atmosphere and landscape on) the same toggle moves **3 300 642 px>8** — 79 % of the frame — **[ATTRIBUTION REFUTED 2026-08-26, F40 §11.153(l) → new §5.106: those pixels are NOT the teleport. With the teleport removed the same scene still changes by **3 300 632 px>8** while the observer moves **0.241 m**; a  || e-12 AU / 0 px). Screen at the shipped place and flags: ~~**3 300 642 px>8** vs A/A floors of 861/664~~ **[ATTRIBUTION REFUTED 2026-08-26, F40 §11.153(l) → new §5.106; entry-file-only until the stub was refreshed 2026-08-29, F42/§11.156. Those pixels are NOT the teleport: with the teleport removed the same scene still 
11.156	5.106	A-entry	register-stub	no-marker	INTENT/11.156.md:59	2. **§11.144** — the stub carried **3 300 642 px>8** as the teleport's screen measure; the entry marks it **ATTRIBUTION REFUTED** (2026-08-26, F40 §11.153(l) → §5.106): with the teleport removed the same scene still changes by 3 300 632 px>8 while the observer moves 0.241 m; the pixels are `EnvironmentManager.cpp:81`'s
11.155	5.107	B-stub-11	register-stub	no-marker	INTENT.md:896	9's D21 gate re-run, thirteen legs, ratio 1.38581–1.38582 invariant and its **reload leg now reads 8687.00 km** ⇒ **§11.152(p)(5)'s warning SUPERSEDED**. NEW **§5.107** (the extent cache is a load-time latch for a body no scene evaluates — `boundingRadius` ×1.01 where `moon_altimetry_level = 2` says ×1.02) and **§5.108
11.157	5.107	A-entry	register-stub	no-marker	INTENT/11.157.md:41	aises body-vs-surface contrast where the leg is lit (caps up), loses the dim leg's own rim (b250 down) and compresses the shadow witness. A second candidate is §5.107's extent latch (`boundingRadius` ×1.01 where `moon_altimetry_level = 2` says ×1.02). **DISCRIMINATING CHECK, NAMED NOT RUN**: re-run the CORRECTED harnes
11.164	5.107	A-entry	register-stub	no-marker	INTENT/11.164.md:18	    - **(g) §11.157(e)'s OTHER CANDIDATE IS REFUTED IN PASSING.** (e) named §5.107's extent latch (`boundingRadius` ×1.01 where `moon_altimetry_level = 2` says ×1.02) as the second candidate for the drift. The Moon's dumped `boundingRad
11.166	5.110	A-entry	register-stub	register-stub/A@INTENT.md:439	INTENT/11.166.md:33	    - **(i) THE VERDICTS — 20 reads of a non-neutral member through an `Object`: 11 provably guarded, 7 REACHABLE (two of them §5.110's own), 2 undetermined.** *[BACK-MARKER: the "2 undetermined" half is SUPERSEDED 2026-08-30 by §11.170(i) (F53) — `searchAround` cannot push a null `Obje
11.170	5.113	A-entry	register-stub	register-stub/A@INTENT.md:445;register-stub/B@INTENT.md:445	INTENT/11.170.md:115	      4. §5.113's own trailing clause *"Also undetermined, from the same census: whether `searchAround` can push a null `ObjectBaseP` …"* is **SUPERSEDED** by (i) above;
5.110	5.113	B-stub-5	register-stub	no-marker	INTENT.md:439	HE NON-NEUTRAL RETURNS DO reach other consumers, but NOT the same way** — by a missing truthiness guard rather than by this type filter, minted separately as **§5.113**. **(6) ONE OF THIS ROW'S OWN CITATIONS IS CORRECTED**: the initialisers cited as `ssystem_factory.hpp:592/597` are `getSelectedStarRA`/`getSelectedStar
