srcclass	src	home	target	tgtclass	pos	context
LIVE-STUB	5.55	INTENT.md:335	B7	LIVE-B	1386	tively `std::bad_alloc` out of a destructor ⇒ `terminate` ⇒ **SIGABRT**; under gdb *"Thread 1 received signal SIGSEGV, Segmentation fault"* at that same frame #0. So this is a **member of the §11.15d/B7 shutdown-crash class that reproduces on one command** — the first one that does. **Mechanism at source**: `AxisFamilyData` is a function-local static (`AxisModule.cpp:26-31`, constructed on the axis 
LIVE-STUB	5.59	INTENT.md:343	B7	LIVE-B	1245	the same stack appears when the same path is starved a completely different way (the app on a software Vulkan ICD, `f17_tsan_smoke/lvp_native.log`). This is what every "HUNG (no exit in 45 s)" in the B7 record has been, on BOTH binaries: a frame-pacing stall upstream of teardown, NOT a teardown fault — which is also what §11.74 concluded about B17's mis-filed draw-stall. It **supersedes §11.122(i)'s
LIVE-STUB	5.59	INTENT.md:343	B17	LIVE-B	1391	). This is what every "HUNG (no exit in 45 s)" in the B7 record has been, on BOTH binaries: a frame-pacing stall upstream of teardown, NOT a teardown fault — which is also what §11.74 concluded about B17's mis-filed draw-stall. It **supersedes §11.122(i)'s unattributed residual** (the binary theory it named is refuted: 3/54 post-fix vs 1/54 pre-fix, p = 0.31, and the pre-fix binary — 0 HUNG in 122 be
LIVE-STUB	5.63	INTENT.md:351	B31	LIVE-B	1522	old the restored scene and the rebuilt scene side by side with the sky content off, which separates a photometric sky term from everything else in one run. It blocks b31-design §6.2's T1 and the next B31 slice inherits it.)** **[EXTENDED 2026-08-01 by F21's bounded attribution attempt (§11.129(b); budget stated and spent: 3 measurement waves / 9 launches, in-scene A/A floor 0 at every stage of every 
LIVE-STUB	5.63	INTENT.md:351	B10	LIVE-B	3638	tar_scale 1`, `set star_mag_scale 1`, `flag lock_sky_position off` then `on`, `set heading 0`. **(6) `view_offset` EXCLUDED BY CONSTRUCTION, and it is a harness defect**: `set view_offset 0.25` — the B10 line of f20_session.py's scene A — is **not a registered `set` name**; the app rejects it (*"view_offset is unknown. Did you mean zoom_offset ?"*, `f21s_saved.applog:2159`), so scene A never exercise
LIVE-STUB	5.63	INTENT.md:351	B10	LIVE-B	3850	f20_session.py's scene A — is **not a registered `set` name**; the app rejects it (*"view_offset is unknown. Did you mean zoom_offset ?"*, `f21s_saved.applog:2159`), so scene A never exercised §2 row B10 at all and both sides run at offset 0. **(7) the magnitude is NOT stable across restores**: 3185 px (§11.128(h)), then 5655 / 7834 / 7830 on the same binary, same scene, same commands — while the SAV
LIVE-STUB	5.63	INTENT.md:351	B19	ARCHIVED	5511	s drawn against 689**, while the observer's place agreed to 1.4e-6° and `mat_local_to_earth_equ` to 1.9e-8. **TWO facts.** (1) `Navigator::local_vision` is STATE and the file did not carry it: §2 row B19's clause *"setters are dual so it follows"* is measurably false here — nothing ties that vector to the camera, and there is no seam to route it through (driving the shipped `look_at` dual seam with t
LIVE-STUB	5.66	INTENT.md:357	B9	ARCHIVED	663	tion predicts** and **102.0° from where the old path had been**, against an in-scene A/A floor of 1e-6°.] The two paths therefore do not share the alt/az convention this seam feeds them, which is the B9 az-convention family (§11.4/§11.60) seen from the WRITE side rather than the readout side. Consequence, and the reason it is recorded here: a restore cannot put the old path's view back by replaying 
LIVE-STUB	5.68	INTENT.md:361	B33	LIVE-B	1208	` puts the old observer at 0.1 m and the camera at 0.05 m — is a REAL divergence of the drawn place from the readable one on the OLD side of the pin. — **OPEN** (found 2026-08-01 by F23 while closing B33's read half; record-don't-fix: which clamp is right is a product question — the ±90° one is a coordinate-system fact the camera arguably needs too, the 0.1 m altitude floor and the 0→1e-6 latitude nu
LIVE-STUB	5.70	INTENT.md:365	B28	ARCHIVED	1401	x: the one-word fix is `look_at delta_azimuth … delta_altitude …`, but what a recording CONTAINS is show-facing, the recorded value would then execute `Core::panView` — which is §5.71, old-only — and B28 owns command spellings. Owed before it is judged: whether any archived recording already carries the broken line, since fixing the emitter does not fix a recorded file.) — **EXTENDED 2026-08-09 (F30,
LIVE-STUB	5.71	INTENT.md:367	B34	LIVE-B	484	z, delta_alt, projection->getFov(), duration)` `[observed: core.hpp:264-267, app_command_interface.cpp:3197]` — the OLD path only, exactly as the key ramp did before §11.133. It is the last member of B34's class and the fix is one line at the same seam, `Camera::lookRel(delta_alt, delta_az, duration)`, now that `lookRel` carries old's convention. NOT taken by F25 for two stated reasons: it is inside 
LIVE-STUB	5.71	INTENT.md:367	B34	LIVE-B	1050	on > 0`, where old runs an atan-eased `auto_move` (which also arms the view offset) against the camera's constant-min-acceleration law — **perceptual parity, not exact**, i.e. precisely the class the B34 mandate says to record rather than approximate. — **OPEN** (found 2026-08-02 by F25; blocked on §5.66/§11.92(d) rather than on effort. Owed before it is judged: whether the duration branch should rid
LIVE-STUB	5.77	INTENT.md:379	B28	ARCHIVED	4483	ding new wording first. No ⇒ the fix is not additive: either the raw stream write goes (changing the console for `print_log = false` installs) or `cLog` needs a log-only entry point (a new interface, B28-adjacent). Everything downstream of that answer is mechanical.)
LIVE-STUB	5.80	INTENT.md:384	B10	LIVE-B	1521	oveEyeRel` and `setFreeMode(false)` alike, so it is a free-flight semantics change, not a sign flip. Owed before it is judged: which of the two conventions the free-flight movers were BUILT against — B10/B21 measured their behaviour, not their frame.)** — **EXTENSION 2026-08-09 (F34, §11.144; code UNCHANGED at `204d402e`): THE OWED DATUM IS ANSWERED, and the row's own text is corrected on one point.*
LIVE-STUB	5.80	INTENT.md:384	B21	LIVE-B	1525	yeRel` and `setFreeMode(false)` alike, so it is a free-flight semantics change, not a sign flip. Owed before it is judged: which of the two conventions the free-flight movers were BUILT against — B10/B21 measured their behaviour, not their frame.)** — **EXTENSION 2026-08-09 (F34, §11.144; code UNCHANGED at `204d402e`): THE OWED DATUM IS ANSWERED, and the row's own text is corrected on one point.** **
LIVE-STUB	5.82	INTENT.md:387	B28	ARCHIVED	794	EN (recorded, not fixed: honouring the argument would change what a shipped command DOES — 19 shipped lines would start creating differently-named anchors — so it is a product decision, not a repair. B28 also forbids minting around it.)** — **ANNOTATED 2026-08-23 (§11.147).** *"Every shipped use passes a name (19 lines in 3 files)"* is exact for `~/.spacecrafter/scripts/**` and over-broad as written:
LIVE-STUB	5.85	INTENT.md:393	B4	LIVE-B	1095	 START-DEPENDENT — the same command from heading 40° lands **29.635°** away from where it lands from heading 0° (40 → −92.979). An alignment would be both. 0 shipped scripts use it. — **OPEN (this is B4(iv)'s recorded derivation gap: the member was NOT ported to the new path because the requirement its shape appears to encode is one old does not meet, and the two terms that fail — the transpose and 
LIVE-STUB	5.86	INTENT.md:395	B24	LIVE-B	3840	t only four sites** (product `ssystem_factory.cpp:914`/`:937`, instrument `:1202`/`:1239`), so on the shipped surface this defect answers **ONLY for a body the old tree does not carry** — a composed (B24) body. **(ii) THE PARITY TARGET, measured on an EXISTING channel** (the dual dump's `.navstr` sidecar already prints both paths' `getShortInfoNavString` per body at one frame, `ssystem_factory.cpp:11
LIVE-STUB	5.87	INTENT.md:397	B3	LIVE-B	775	*MEASURED on F31's fixture culture**: `select constellation_star ZZNOSUCH` after `select constellation_star F3A` still answers `43 And` / `HP 5447` and `F3A` `[artifacts/f35/post/f35_result_post.json B3]`. Distinct from §5.79, which was the EMPTY case and is closed: this is the non-empty one, unchanged by that fix by construction (D8). — **OPEN (recorded, not fixed: the right answer is a user-visibl
LIVE-STUB	5.88	INTENT.md:398	B9	ARCHIVED	2960	 field + data-root md5 asserted in == out on every leg. **(1) The user-visible cost is a FALSE STATEMENT, not a gap**: the label prints with an empty value — `'Type spectral : '` vs `'Type spectral : B9p'` (4/4 both ways) — so a star with no loadable spectral type is presented as a star with no spectral type. A star whose `getSpInt()` is 0 gives an ABSENT line in both legs, which is the built-in neg
LIVE-STUB	5.89	INTENT.md:400	B1	LIVE-B	4577	 `T&` over a file-sized buffer, whose only implicit-conversion consumer (`LazyOjmL.cpp:156`) has **zero construction sites today** ⇒ unreachable now, **load-bearing the moment the RING/asteroid line (B1/S4) wires it**, against a loader cache validated by source **mtime only** (`AsyncLoaderMgr.cpp:149`) where the texture cache next door carries a version stamp (`s_texture.cpp:1201-1206`). **What the 
LIVE-STUB	5.100	INTENT.md:422	B17	LIVE-B	402	f38_gaps.py`, artifacts `harness/artifacts/f38/gaps`] `Core::autoZoomIn` writes `navigation->setFlagTraking(true)` directly [observed: core.cpp:1324] with no `Camera::trackBody` beside it — while the B17 view-offset mirror IS there, two lines below, so the seam was visible at the site. Measured on the shipped command surface: `select planet Mars` then `zoom auto in duration 0` leaves **`old flagTraki
