dir	source	target	tgtclass	verdict	reading	ground
FWD	5.59	B17	LIVE-B	NON-STATE	PROVENANCE	'what S11.74 concluded about B17's mis-filed draw-stall'
FWD	5.59	B7	LIVE-B	COHERENT	ARTIFACT	'every HUNG in the B7 record' — B7 live and open
FWD	5.63	B10	LIVE-B	NOT-A-ROW	KEY	'the B10 line of f20_session.py's scene A' = b31-design §2 state row B10 (viewOffset), not ledger B10
FWD	5.63	B19	ARCHIVED	NOT-A-ROW	KEY	'§2 row B19' = b31-design §2 state row B19 (old-path Observer/Navigator twin state), disambiguated by the author
FWD	5.63	B31	LIVE-B	COHERENT	QUEUE	'the next B31 slice inherits it' — B31 live; the row's own later block corrects the T1 clause
FWD	5.66	B9	ARCHIVED	COHERENT	ARTIFACT	'the B9 az-convention family (S11.4/S11.60)' — a named family, not a queue
FWD	5.68	B33	LIVE-B	NON-STATE	PROVENANCE	'found 2026-08-01 by F23 while closing B33's read half'
FWD	5.70	B28	ARCHIVED	COHERENT	ARTIFACT	'B28 owns command spellings' = the B28 PROTOCOL (new product surface needs sign-off), live vocabulary used by the owner himself 2026-08-26 (S11.154(b))
FWD	5.71	B34	LIVE-B	COHERENT	QUEUE	'the last member of B34's class' — B34 live and open
FWD	5.77	B28	ARCHIVED	COHERENT	ARTIFACT	'a new interface, B28-adjacent' — the same protocol reading
FWD	5.80	B10	LIVE-B	NON-STATE	PROVENANCE	'B10/B21 measured their behaviour, not their frame'
FWD	5.80	B21	LIVE-B	NON-STATE	PROVENANCE	same clause
FWD	5.82	B28	ARCHIVED	COHERENT	ARTIFACT	'B28 also forbids minting around it' — the protocol reading
FWD	5.85	B4	LIVE-B	COHERENT	QUEUE	'this is B4(iv)'s recorded derivation gap' — B4(iv) DELIVERED and its row routes align_with to §5.85; the pair is coherent BOTH ways
FWD	5.86	B24	LIVE-B	NON-STATE	PROVENANCE	'a composed (B24) body'
FWD	5.87	B3	LIVE-B	NOT-A-ROW	KEY	'[artifacts/f35/post/f35_result_post.json B3]' — a probe key inside an artifact citation
FWD	5.88	B9	ARCHIVED	NOT-A-ROW	KEY	"'Type spectral : B9p'" — a star SPECTRAL TYPE in quoted program output
FWD	5.89	B1	LIVE-B	AMBIGUOUS	QUEUE	'the RING/asteroid line (B1/S4)' — reading (a) the architectural line named by its head row (fable-dispatch §2 groups 'B1/S4 + B2 + riding rows'); reading (b) an imprecise cite for B2, which is the row that carries the RING asteroid. Both rows live and blocked, so no state move is implied
FWD	5.100	B17	LIVE-B	NON-STATE	PROVENANCE	'the B17 view-offset mirror IS there, two lines below'
FWD	5.104	B16	ARCHIVED	COHERENT	ARTIFACT	'rides B16's seam' — the SEAM B16 built (`body action reload`), not its queue; and the row's own FIXED-AND-CLOSED block (F41, S11.155) supersedes the routing
FWD	5.104	B28	ARCHIVED	COHERENT	ARTIFACT	'ONE GATE: B28 sign-off on the new-format scaling key' — the protocol; DISCHARGED at S11.155(a) ('display_scale ADOPTED ... B28 verdict')
FWD	5.107	B15	LIVE-B	COHERENT	ARTIFACT	'the closed B15/B19/B32/S11.152(b) class'
FWD	5.107	B19	ARCHIVED	COHERENT	ARTIFACT	same clause
FWD	5.107	B32	ARCHIVED	COHERENT	ARTIFACT	same clause
BWD	A23	5.2	-	COHERENT	-	§5.2's claim REFUTED — matches §5.2's own record
BWD	A30	5.40	-	COHERENT	-	names a failure mode; §5.40 is ARCHIVED (archived-read, flagged)
BWD	A40	5.59	-	COHERENT	-	'§5.59's fork' — §5.59 live and open
BWD	A41	5.54	-	COHERENT	-	recorded-column reference; §5.54 open
BWD	A42	5.53	-	COHERENT	-	recorded-column reference; §5.53 open
BWD	A43	5.53	-	COHERENT	-	recorded-column reference; §5.53 open
BWD	B3	5.27	-	NON-STATE	-	dated decomposition (§11.100); the row's later blocks carry the state
BWD	B3	5.29	-	COHERENT	-	'§5.29 is CLOSED' recorded in the row's PART 1 block (archived-read, flagged)
BWD	B3	5.30	-	COHERENT	-	'§5.30 CLOSED' recorded in the PART 2 block (archived-read, flagged)
BWD	B3	5.33	-	COHERENT	-	'§5.33 FOUND AND CLOSED' (archived-read, flagged)
BWD	B4	5.41	-	COHERENT	-	§5.41 open
BWD	B4	5.43	-	COHERENT	-	'fixed at the class: §5.43' — §5.43 FIXED
BWD	B4	5.80	-	NON-STATE	-	'Five new §5 rows recorded, none fixed (§5.80-§5.85)' — a dated campaign record; §5.81 has since CLOSED (2026-08-09, §11.145). NEAR-MISS, see VERDICTS.md
BWD	B4	5.85	-	COHERENT	-	'§5.85, which owns what the command is for' — §5.85 open; coherent BOTH ways
BWD	B7	5.51	-	NON-STATE	-	mint record
BWD	B7	5.55	-	NON-STATE	-	mint record
BWD	B7	5.57	-	NON-STATE	-	mint record
BWD	B7	5.58	-	NON-STATE	-	mint record
BWD	B7	5.59	-	NON-STATE	-	mint record
BWD	B7	5.60	-	NON-STATE	-	mint record
BWD	B10	5.2	-	COHERENT	-	'full derivation §5.2'
BWD	B10	5.18	-	COHERENT	-	'anti-stuck floor, REQUIRED with it (§5.18)' — §5.18 open on the floor VALUE
BWD	B12	5.52	-	NON-STATE	-	mint record
BWD	B12	5.53	-	NON-STATE	-	mint record
BWD	B12	5.54	-	NON-STATE	-	mint record
BWD	B14	5.25	-	NON-STATE	-	mint record ('NEW: (vii) §5.25')
BWD	B14	5.28	-	AMBIGUOUS	-	'the axis they are converted onto -> §5.28, decision A33' — §5.28 names TWO defects (§11.179(i)); this pre-2026-08-04 citation means the ARCHIVED one, and this §13-side citer is NOT covered by the three disambiguation notes F59's acceptance placed
BWD	B14	5.49	-	NON-STATE	-	mint record
BWD	B15	5.32	-	STALE	-	'Reference half closes with §5.32's one-site fix' — §5.32 CLOSED 2026-08-01 (F20, §11.128); the row carries no later block
BWD	B17	5.26	-	NON-STATE	-	'Pre-existing §5.26 exposed'
BWD	B18	5.80	-	COHERENT	-	'§5.80's converter unblock' — §5.80 still open
BWD	B18	5.89	-	COHERENT	-	'B35 and §5.89 are INFORMED, not decided' — mirrored at §5.89's own row
BWD	B18	5.100	-	NON-STATE	-	mint record
BWD	B18	5.101	-	NON-STATE	-	mint record
BWD	B21	5.18	-	COHERENT	-	'ascend floored (§5.18 restored on live geometry)'
BWD	B24	5.23	-	COHERENT	-	'grounded fold FIXED to parent spin en route — §5.23'
BWD	B27	5.5	-	COHERENT	-	'Tier B reproduced by type, §5.5' — §11.163(c): 'B27's own §13 row records all of this correctly'
BWD	B31	5.3	-	NOT-A-ROW	-	'§5.3's annotation mechanism' = b31-design.md §5.3 'Inline annotation (O7/O8)', not INTENT §5.3 (`notableBody`)
BWD	B31	5.4	-	NOT-A-ROW	-	'b31-design.md §3.5/§4.2/§5.4/§7' = that document's own sections
BWD	B31	5.27	-	COHERENT	-	T3/§5.27 sequencing SUPERSEDED in place by the row's 2026-08-26 blocks (T3 unblocked then RESOLVED, prediction refuted)
BWD	B31	5.32	-	COHERENT	-	the save-permanence hazard is superseded by the row's own '§5.32 CLOSED' block
BWD	B31	5.37	-	COHERENT	-	'§5.37's suspended galactic load' — a named boundary (archived-read, flagged)
BWD	B31	5.39	-	COHERENT	-	'§5.39's parser unification is a PRECONDITION' (archived-read, flagged)
BWD	B31	5.41	-	COHERENT	-	§5.41 open
BWD	B31	5.42	-	COHERENT	-	§5.42 open
BWD	B31	5.63	-	COHERENT	-	the T1 clause is SUPERSEDED in place by the row's '[§5.63 CLOSED 2026-08-01 ...]' block
BWD	B31	5.104	-	COHERENT	-	mint record inside the T3-RESOLVED block; §5.104's closure is F41's, recorded at §5.104
BWD	B33	5.41	-	COHERENT	-	§5.41 open
BWD	B33	5.42	-	COHERENT	-	§5.42 open
BWD	B33	5.68	-	COHERENT	-	§5.68 open
BWD	B34	5.66	-	COHERENT	-	§5.66 open
BWD	B34	5.68	-	COHERENT	-	§5.68 open
BWD	B34	5.69	-	NON-STATE	-	mint record
BWD	B34	5.70	-	NON-STATE	-	mint record
BWD	B34	5.71	-	NON-STATE	-	mint record
BWD	B35	5.89	-	COHERENT	-	'§5.89 ... the row keeps its item and loses one of its reasons'
BWD	B38	5.36	-	COHERENT	-	'media subtitle toggle tests the wrong variable -> §5.36' — §5.36 open
BWD	B39	5.31	-	COHERENT	-	'§5.31 CLOSED on its own discriminator' (archived-read, flagged)
BWD	B39	5.44	-	COHERENT	-	'§5.44 impossible here' — and this is what makes §5.44's own text STALE on the forward axis
BWD	B39	5.46	-	STALE	-	'publishParkedFrame keeping the parent frame the up-chain never caches (-> §5.46)' — §5.46 FIXED 2026-08-09 (F29, §11.139): the up-chain now writes matLocalToBodyPos at both sites, so the relative clause is false at HEAD
BWD	B39	5.99	-	COHERENT	-	'Cause of the misreading -> §5.99' — §5.99 live
