srcclass	src	home	target	pos	context
LIVE-B	B3	INTENT.md:1014	5.30	2084	ering defect IS measurable at D1 scale, and its cause is now source-located: **§5.29** ray-march proxy-shell depth (Δ 35–350 km on the Moon, observer-independent, whole `<64·scaledRadius` band) and **§5.30** Earth's NIGHT row writing no depth at all. B3 therefore carries a MEASURED defect again, not only a header-forced one; the b24_screen occlusion asserts must be replaced (non-discriminating — painte
LIVE-B	B3	INTENT.md:1014	5.29	2650	 EXISTS (`harness/b3_ladder.py` — exact unit-sphere grounded bodies, nadir, predicted caps in a committed prediction file, `moveto`↔`orbit_lon` and the OjmLoader radius factor asserted per leg) and **§5.29 is CLOSED** — the ray-march writes the true ray-hit depth; the wall inverted from the render moved from 34.77/34.93 km at two sites (the shell) to 21.33/19.74/22.78 km site-dependent (the terrain), a
LIVE-B	B3	INTENT.md:1014	5.30	3199	cal, D11 |Δ| ≤ 0.06 ms/frame. §11.100's non-discriminating occlusion asserts are SUPERSEDED as the B3 instrument (b24_screen keeps them as its own regression gate, still green). ~~**PART 2 REMAINS**: §5.30 … and the D1(b) grounded-slice parent-depth prefill~~ **PART 2 DELIVERED 2026-07-25 (F1-P2, §11.105; code `d28e67d3` + `ded43e5a`, harness `db4207f`/`06455b0`/`a59dcb6`)**: **§5.30 CLOSED** (the NIGH
LIVE-B	B3	INTENT.md:1014	5.30	3380	*PART 2 REMAINS**: §5.30 … and the D1(b) grounded-slice parent-depth prefill~~ **PART 2 DELIVERED 2026-07-25 (F1-P2, §11.105; code `d28e67d3` + `ded43e5a`, harness `db4207f`/`06455b0`/`a59dcb6`)**: **§5.30 CLOSED** (the NIGHT row's `VARIANT_NO_DEPTH` retired with its requirement named from the old path's own history, plus the true ray-hit `gl_FragDepth` write in `bodyRayMarchNight.frag` in the same com
LIVE-B	B3	INTENT.md:1014	5.33	3670	 the old path's own history, plus the true ray-hit `gl_FragDepth` write in `bodyRayMarchNight.frag` in the same commit — the §11.104(c) rider, and the `shell` failure mode excluded BY MEASUREMENT); **§5.33 FOUND AND CLOSED** as a forced scope expansion (the translucent ATMOSPHERE shell wrote a SECOND, taller wall — 191.47 km measured vs 191.3442 derived — which made §5.30 alone deliver nothing on stock
LIVE-B	B3	INTENT.md:1014	5.30	3839	de excluded BY MEASUREMENT); **§5.33 FOUND AND CLOSED** as a forced scope expansion (the translucent ATMOSPHERE shell wrote a SECOND, taller wall — 191.47 km measured vs 191.3442 derived — which made §5.30 alone deliver nothing on stock Earth); the instrument is now a SITE × STATE matrix whose states are wall hypotheses, F1-P1's numbers bit-identical after the refactor, and the Moon reproduces §11.104(
LIVE-B	B3	INTENT.md:1014	5.27	5748	*, heightmap-conditioned (*"requires heightmap - otherwise not loaded"*) → §12 row 16/B2. Selection reads LIVE load state (*"dynamically loaded/unloaded on the fly"*), never a latch — the B15/B19/B32/§5.27 class, pre-empted. **And `planets_axis`: RATIFIED** (A36 — occlusion is the AxisModule's own contract; old is the physical defect) | shadow-paths H4, **§11.78**, §11.97, §11.99, **§11.100**, **§11.10
LIVE-B	B4	INTENT.md:1015	5.43	1891	nly difference is a local-frame parametrization the new camera applies to every reference). **`follow_rotation` ABSENT = inaction** (no acting default). Two precondition defects fixed at the class: **§5.43** (ModularBodyPtr copy ctor) and hidden-bodies-in-the-draw/pick-sweep (`operator bool` asks `relation`). **REMAINS: (i) the anchor.ini key spelling `follow_rotation` awaits sign-off** (B28 protocol, 
LIVE-B	B4	INTENT.md:1015	5.41	2448	 inherited, not re-stated; **(iii) the folded FEATURE_REQUESTS 2026-07-21-02 save-to-anchor.ini command is NOT delivered** — it did not fall out naturally and B31's design already rules that surface (§5.41) must be re-expressed on the session serializer, so minting a second serialization path here was refused; ~~**(iv) the old path's scripted transitions (moveTo / transitionTo* / alignCameraToBody, the
LIVE-B	B4	INTENT.md:1015	5.85	4752	UpVectorTo` applies the transpose of the map its own comment asks for, on an axis converted into a j2000 frame nothing else speaks, measured NOT idempotent (25.158°) and start-dependent (29.635°) → **§5.85**, which owns what the command is for. Five new §5 rows recorded, none fixed (**§5.80**–**§5.85**); **(v) B20/R13 anchor-per-mode memory stays scheduled with §6.9** | §12 row 19, §11.48(c), §11.70, *
LIVE-B	B4	INTENT.md:1015	5.80	4838	erted into a j2000 frame nothing else speaks, measured NOT idempotent (25.158°) and start-dependent (29.635°) → **§5.85**, which owns what the command is for. Five new §5 rows recorded, none fixed (**§5.80**–**§5.85**); **(v) B20/R13 anchor-per-mode memory stays scheduled with §6.9** | §12 row 19, §11.48(c), §11.70, **§11.111**, **§11.143** |
LIVE-B	B4	INTENT.md:1015	5.85	4848	 a j2000 frame nothing else speaks, measured NOT idempotent (25.158°) and start-dependent (29.635°) → **§5.85**, which owns what the command is for. Five new §5 rows recorded, none fixed (**§5.80**–**§5.85**); **(v) B20/R13 anchor-per-mode memory stays scheduled with §6.9** | §12 row 19, §11.48(c), §11.70, **§11.111**, **§11.143** |
LIVE-B	B7	INTENT.md:1017	5.51	2756	p:148`, notified from `ModularBody.cpp:237`) — **FIXED `1e44b639`**, RED→GREEN on three teardown entries. Whether this WAS the §11.15d fire is not claimed: no fire was ever caught to attribute. NEW **§5.51** (no virtual `~BodyModule`, 373 skipped destructors per shutdown — masks any further teardown measurement, fix it first). OPEN residual: 2 HUNG in one post-fix arm, non-reproducing across a second p
LIVE-B	B7	INTENT.md:1017	5.51	3170	rm and a pre-fix A/B arm, unattributed. **STAYS OPEN**; next hunt = the ASan tree (`build-asan`, `B7_BIN`) over a full N≥50 mix, not more load]** **[F16 2026-07-31 (§11.124): the blind spot is GONE — §5.51 fixed, so the ASan channel is now SILENT on teardown where it printed 373 (746 on a reload), and any report in the next hunt is a new find rather than noise to subtract; the counts need `ASAN_OPTIONS
LIVE-B	B7	INTENT.md:1017	5.55	3755	d and settles nothing about the HUNG residual — that closure path needs the stress arm and is untouched here. And this row now has something it never had: **a DETERMINISTIC member of its own class**. §5.55 — `flag planets_axis on`, one drawn frame, then any teardown ⇒ the process dies at exit in `BufferMgr::releaseBuffer`, walking the free-list of a manager destroyed with the App; SIGABRT natively, **S
LIVE-B	B7	INTENT.md:1017	5.51	4527	oducible fire at last, and it is not the old race** — `body action reload` + composed OJM bodies + quit ⇒ **SIGSEGV on 25 of 26 cycles under load, 2/6 on a quiet host**, attributed SINGLE-VARIABLE to §5.51's virtual destructor (delivered source with only `BodyModule.hpp` reverted: 6/6 CLEAN; delivered: 6/6 plain + 6/6 gdb FIRE; the §11.122 pre-fix reference `5a8881ff`: **0 FIRE / 54**, p = 3.7e-07 on t
LIVE-B	B7	INTENT.md:1017	5.57	4794	hpp` reverted: 6/6 CLEAN; delivered: 6/6 plain + 6/6 gdb FIRE; the §11.122 pre-fix reference `5a8881ff`: **0 FIRE / 54**, p = 3.7e-07 on the reload-race subset). Two faces captured with backtraces: **§5.57** (`s_texture::forceUnload` at `main.cpp:375` drains the deferred texture ring AFTER `app.reset()` destroyed the `BufferMgr`s — **§5.55's shape at a second site**) and **§5.58** (the DRAWING thread r
LIVE-B	B7	INTENT.md:1017	5.55	4930	 the reload-race subset). Two faces captured with backtraces: **§5.57** (`s_texture::forceUnload` at `main.cpp:375` drains the deferred texture ring AFTER `app.reset()` destroyed the `BufferMgr`s — **§5.55's shape at a second site**) and **§5.58** (the DRAWING thread recording `Ojm::drawShadow` from buffers the reload released). The mix's blind spot was never the entry path, it was the SCENE: K=0 under
LIVE-B	B7	INTENT.md:1017	5.58	4970	ured with backtraces: **§5.57** (`s_texture::forceUnload` at `main.cpp:375` drains the deferred texture ring AFTER `app.reset()` destroyed the `BufferMgr`s — **§5.55's shape at a second site**) and **§5.58** (the DRAWING thread recording `Ojm::drawShadow` from buffers the reload released). The mix's blind spot was never the entry path, it was the SCENE: K=0 under the same load is 6/6 clean, which is wh
LIVE-B	B7	INTENT.md:1017	5.59	5660	llocator). **The §11.122(i) HUNG residual is settled as posed**: the binary theory is REFUTED (3/54 post-fix vs 1/54 pre-fix, p=0.31; the pre-fix binary, 0 in 122 before, hung here) and replaced by **§5.59** — `DrawHelper::waitFrame`'s untimed atomic wait, which the teardown cannot interrupt because the same main loop services it; confirmed on 4/4 hangs by the app's own watchdog stack. Every HUNG in th
LIVE-B	B7	INTENT.md:1017	5.57	5917	which the teardown cannot interrupt because the same main loop services it; confirmed on 4/4 hangs by the app's own watchdog stack. Every HUNG in this row's history is that, not a teardown fault. NEW §5.57, §5.58, §5.59, §5.60]** **[F19 2026-07-31 (§11.126): **the reproducer class is CLOSED as a CRASH class** — the same regime, same load, interleaved arms, 30 cycles each: pre-fix `550b3f9f` **27 FIRE /
LIVE-B	B7	INTENT.md:1017	5.58	5924	he teardown cannot interrupt because the same main loop services it; confirmed on 4/4 hangs by the app's own watchdog stack. Every HUNG in this row's history is that, not a teardown fault. NEW §5.57, §5.58, §5.59, §5.60]** **[F19 2026-07-31 (§11.126): **the reproducer class is CLOSED as a CRASH class** — the same regime, same load, interleaved arms, 30 cycles each: pre-fix `550b3f9f` **27 FIRE / 3 HUNG
LIVE-B	B7	INTENT.md:1017	5.59	5931	down cannot interrupt because the same main loop services it; confirmed on 4/4 hangs by the app's own watchdog stack. Every HUNG in this row's history is that, not a teardown fault. NEW §5.57, §5.58, §5.59, §5.60]** **[F19 2026-07-31 (§11.126): **the reproducer class is CLOSED as a CRASH class** — the same regime, same load, interleaved arms, 30 cycles each: pre-fix `550b3f9f` **27 FIRE / 3 HUNG / 0 CL
LIVE-B	B7	INTENT.md:1017	5.60	5938	nnot interrupt because the same main loop services it; confirmed on 4/4 hangs by the app's own watchdog stack. Every HUNG in this row's history is that, not a teardown fault. NEW §5.57, §5.58, §5.59, §5.60]** **[F19 2026-07-31 (§11.126): **the reproducer class is CLOSED as a CRASH class** — the same regime, same load, interleaved arms, 30 cycles each: pre-fix `550b3f9f` **27 FIRE / 3 HUNG / 0 CLEAN**, 
LIVE-B	B7	INTENT.md:1017	5.55	6216	ASH class** — the same regime, same load, interleaved arms, 30 cycles each: pre-fix `550b3f9f` **27 FIRE / 3 HUNG / 0 CLEAN**, delivered `96a94a46` **0 FIRE / 1 HUNG / 29 CLEAN** (p ≈ 1e-14 on FIRE). §5.55, §5.57 and §5.58 are FIXED at the class (`Context::onManagerTeardown` hooks run while the managers are alive; `s_texture::forceUnload` moved into `~Context` as the terminal drain; `Context::quiesceFr
LIVE-B	B7	INTENT.md:1017	5.57	6223	ss** — the same regime, same load, interleaved arms, 30 cycles each: pre-fix `550b3f9f` **27 FIRE / 3 HUNG / 0 CLEAN**, delivered `96a94a46` **0 FIRE / 1 HUNG / 29 CLEAN** (p ≈ 1e-14 on FIRE). §5.55, §5.57 and §5.58 are FIXED at the class (`Context::onManagerTeardown` hooks run while the managers are alive; `s_texture::forceUnload` moved into `~Context` as the terminal drain; `Context::quiesceFrames()`
LIVE-B	B7	INTENT.md:1017	5.58	6233	 same regime, same load, interleaved arms, 30 cycles each: pre-fix `550b3f9f` **27 FIRE / 3 HUNG / 0 CLEAN**, delivered `96a94a46` **0 FIRE / 1 HUNG / 29 CLEAN** (p ≈ 1e-14 on FIRE). §5.55, §5.57 and §5.58 are FIXED at the class (`Context::onManagerTeardown` hooks run while the managers are alive; `s_texture::forceUnload` moved into `~Context` as the terminal drain; `Context::quiesceFrames()` at the mi
LIVE-B	B7	INTENT.md:1017	5.59	6604	ontext::quiesceFrames()` at the mid-session destruction entry points; `~App` stops the drawing worker before destroying what it records). **What is LEFT on this row is the HUNG class alone, and it is §5.59** — the HUNG halves of the two arms are indistinguishable (3/30 vs 1/30, p = 0.30) BY DESIGN: §5.59's fix was built, measured and WITHDRAWN, because across 3 fixed arms / 60 cycles **every cycle that
LIVE-B	B7	INTENT.md:1017	5.59	6704	r before destroying what it records). **What is LEFT on this row is the HUNG class alone, and it is §5.59** — the HUNG halves of the two arms are indistinguishable (3/30 vs 1/30, p = 0.30) BY DESIGN: §5.59's fix was built, measured and WITHDRAWN, because across 3 fixed arms / 60 cycles **every cycle that entered the cancellation path died (3 of 3)** where the untouched binary hangs it. That is a fork f
LIVE-B	B7	INTENT.md:1017	5.59	7000	ycle that entered the cancellation path died (3 of 3)** where the untouched binary hangs it. That is a fork for Vixy (a rare hang vs a rare crash), not an implementation choice, and it is recorded in §5.59 with a DETERMINISTIC reproducer (`harness/f19_stall.sh`) the row never had. **The §11.124(k) coverage hole can now CLOSE**: §5.55 is fixed and `pcaxis`/`pcaxissig` are 4/4 clean on both entries, so `
LIVE-B	B7	INTENT.md:1017	5.55	7130	vs a rare crash), not an implementation choice, and it is recorded in §5.59 with a DETERMINISTIC reproducer (`harness/f19_stall.sh`) the row never had. **The §11.124(k) coverage hole can now CLOSE**: §5.55 is fixed and `pcaxis`/`pcaxissig` are 4/4 clean on both entries, so `planets_axis`/`planet_grid`/`star_lines` belong in the next hunt's mix. Quiet mix re-baselined on the delivered binary: **N=54, 54
LIVE-B	B10	INTENT.md:1019	5.2	2402	arness routes around it via `camera action descend` and is the discriminating case waiting to flip**. — Original spec below. **UNBLOCKED — names and shape confirmed [vixy 2026-07-20]; full derivation §5.2.** Two per-body scalars, **both defaulting to `radius`** (⇒ bit-identical to today for every shipped body and every legacy script). **Do NOT wire `altitudeRelativeToRadius`** — the first draft of thi
LIVE-B	B10	INTENT.md:1019	5.18	3277	 **(iv) CONFIRMED [vixy 2026-07-20]** — `multAlt` base → `ground_radius` (the multiplier expresses proximity, measured to the closest reachable position); **(iv-b) anti-stuck floor, REQUIRED with it (§5.18, user-reported)**: one shared `proximityFactor()` authority (I2) consumed by `multAlt` + `moveRelLon` + `moveRelLat`, floored so height 0 is escapable in every direction — the split alone does NOT fi
LIVE-B	B10	INTENT.md:1019	5.2	6334	b) independently re-confirmed**: *"when we are close to the surface … we have to stop coming down as it doesn't move"* — a learned workaround, i.e. the defect class that never produces a bug report | §5.2, §11.6, §11.48(c), §11.70 |
LIVE-B	B12	INTENT.md:1020	5.52	1674	ble `big_star.frag`) and the chromosphere shell (its own type ⇒ a `module =` grammar word ⇒ B28 sign-off, D4 of the note). Veto points V1–V4 in §11.123(l); not-mine D1–D4 recorded, none blocking. NEW §5.52/§5.53/§5.54 (mid-band draws no surface — which also corrects §11.44's "bright in both"; texture-level brightness step; dead G4 threshold constants). **2026-07-31, F18/§11.127: §5.52 and §5.54 CLOSED,
LIVE-B	B12	INTENT.md:1020	5.53	1680	ig_star.frag`) and the chromosphere shell (its own type ⇒ a `module =` grammar word ⇒ B28 sign-off, D4 of the note). Veto points V1–V4 in §11.123(l); not-mine D1–D4 recorded, none blocking. NEW §5.52/§5.53/§5.54 (mid-band draws no surface — which also corrects §11.44's "bright in both"; texture-level brightness step; dead G4 threshold constants). **2026-07-31, F18/§11.127: §5.52 and §5.54 CLOSED, §5.53
LIVE-B	B12	INTENT.md:1020	5.54	1686	r.frag`) and the chromosphere shell (its own type ⇒ a `module =` grammar word ⇒ B28 sign-off, D4 of the note). Veto points V1–V4 in §11.123(l); not-mine D1–D4 recorded, none blocking. NEW §5.52/§5.53/§5.54 (mid-band draws no surface — which also corrects §11.44's "bright in both"; texture-level brightness step; dead G4 threshold constants). **2026-07-31, F18/§11.127: §5.52 and §5.54 CLOSED, §5.53 root-
LIVE-B	B12	INTENT.md:1020	5.52	1856	one blocking. NEW §5.52/§5.53/§5.54 (mid-band draws no surface — which also corrects §11.44's "bright in both"; texture-level brightness step; dead G4 threshold constants). **2026-07-31, F18/§11.127: §5.52 and §5.54 CLOSED, §5.53 root-caused** — the mid band now draws its surface (b12's own s5 scene 0.0000 → 0.9917 against the limb law), the G4 gates are px-authored with ONE authority, and the texture-
LIVE-B	B12	INTENT.md:1020	5.54	1866	ng. NEW §5.52/§5.53/§5.54 (mid-band draws no surface — which also corrects §11.44's "bright in both"; texture-level brightness step; dead G4 threshold constants). **2026-07-31, F18/§11.127: §5.52 and §5.54 CLOSED, §5.53 root-caused** — the mid band now draws its surface (b12's own s5 scene 0.0000 → 0.9917 against the limb law), the G4 gates are px-authored with ONE authority, and the texture-level step
LIVE-B	B12	INTENT.md:1020	5.53	1880	§5.53/§5.54 (mid-band draws no surface — which also corrects §11.44's "bright in both"; texture-level brightness step; dead G4 threshold constants). **2026-07-31, F18/§11.127: §5.52 and §5.54 CLOSED, §5.53 root-caused** — the mid band now draws its surface (b12's own s5 scene 0.0000 → 0.9917 against the limb law), the G4 gates are px-authored with ONE authority, and the texture-level step is attributed
LIVE-B	B14	INTENT.md:1021	5.25	4347	ong-signed — **the B14 data-correction line is COMPLETE for every body with an IAU rotation model (20/20 pole+meridian+rate; carry-over package for `spacecrafter-data` ready, §11.88(g))**. NEW: (vii) §5.25 float32 `re.period` drift (engine field-type, Vixy's eye).** ~~PROPAGATION HAZARD [§11.75(c)]: if `spacecrafter-data` is upstream authority, the 14 landed poles must land there too or a future refres
LIVE-B	B14	INTENT.md:1021	5.28	5416	 for `amalthea.png`/`proteus.png`, invisible on the other 17 (placeholder textures). The fetched W₀ VALUES and the cited-fetch discipline are NOT in question — only the axis they are converted onto → §5.28, decision A33. Two §11.86(c) sub-claims corrected: "planet offsets are TEXTURE-registered" is REFUTED (they ARE IAU-consistent at u 0.5 — Saturn 0.5000 / Mercury 0.4998 / Mars 0.4978 / Neptune 0.4923
LIVE-B	B14	INTENT.md:1021	5.28	6223	 `+π/2` fudge stays at `getAxisRotation()`. The fix's gate must anchor on the TEXTURE (dark-centroid `u`), not on the conversion's own axis — the existing gate is blind to this class by construction (§5.28).]**~~ **[MERIDIAN FIX LANDED 2026-07-30, F14 → §11.120, code `f11f6a4e`: implemented exactly as decided — one operand swap in the ONE conversion, code-only, both files' md5 unchanged (`c4b426df` / `
LIVE-B	B14	INTENT.md:1021	5.28	6916	ixels against an image predicted before the fix; +90.000000° on exactly the 20 keyed bodies, 12 hopped controls bit-identical, §11.69's Iapetus axis observables intact (0.000008°/0.000000°/19.6174°). §5.28 CLOSED. What this does NOT close, unchanged: (ii) source-authority order (§11.75(c)), (v) planet-meridian registration (Vixy's eye — though the four registered planets now agree with the conversion t
LIVE-B	B14	INTENT.md:1021	5.25	7157	nchanged: (ii) source-authority order (§11.75(c)), (v) planet-meridian registration (Vixy's eye — though the four registered planets now agree with the conversion to ≤2.8°), (vii) float32 `re.period` §5.25; and the adjacent §5.49 (observer-longitude origin) is newly opened, not fixed.]** | §11.69, §11.68, §11.35, §11.48(a), §11.49(e), §11.51(d), **§11.101**, **§11.113**, **§11.120** |
LIVE-B	B14	INTENT.md:1021	5.49	7181	thority order (§11.75(c)), (v) planet-meridian registration (Vixy's eye — though the four registered planets now agree with the conversion to ≤2.8°), (vii) float32 `re.period` §5.25; and the adjacent §5.49 (observer-longitude origin) is newly opened, not fixed.]** | §11.69, §11.68, §11.35, §11.48(a), §11.49(e), §11.51(d), **§11.101**, **§11.113**, **§11.120** |
LIVE-B	B15	INTENT.md:1022	5.32	1775	icPos` it is derived from**, same body, same frame — and `findBetterReference` tests B19's fresh `distance` against that latched denominator, the exact §11.62 defect shape. Reference half closes with §5.32's one-site fix; the invisible-CHILDREN half does not]** | §11.36, §11.48(a), **§11.62**, **§11.101** |
LIVE-B	B17	INTENT.md:1023	5.26	2859	pling (old's chain slot corrupts B13 by a measured 2.06° — delivered dome-fixed/screen-fixed, exact at heading 0; roll-with-heading vs dome-fixed is the tilted-dome question, §11.92(d)). Pre-existing §5.26 exposed (`set heading` desync)** **[ENUMERATION RESIDUALS 2026-07-24, §11.102(b) — the port's claims hold; two channels were missed: (i) a FIFTH old arming site — `zoom center on` with tracking off (
LIVE-B	B18	INTENT.md:1024	5.89	1443	ts subject and §11.112's *"direction-only hold"* mechanism is NOT to be built [derived, veto]; boundary stated: this is not authority to retire the config VALUE (D9/D13, old path unchanged) — B35 and §5.89 are INFORMED, not decided. **(b) freeMode: a REQUIREMENT, not a choice from the three options** — *"swapping in both ways must be transparent … a smooth transition to recover the heading, without war
LIVE-B	B18	INTENT.md:1024	5.80	1832	ing, without warping the view"*; auto-disable, resume-from-present and warp-restore are each excluded, leaving suspend + minimum-acceleration heading recovery [derived, veto]. Its second reading is **§5.80's converter unblock** (§11.149(b), veto stated), and *"heading staying stable … (to confirm with user/tester)"* is a proposed default ⇒ a final-pass CONFIRM item. **(c) mirror all four bypass sites, 
LIVE-B	B18	INTENT.md:1024	5.100	4863	asured both routes** (version-equal ⇒ unknown key survives untouched; version-different ⇒ removed with a warning, file rewritten). B18's own harness re-run green and reproducing §11.58's numbers. NEW §5.100/§5.101 = two adjacent old-only write sites found at the same functions, measured, NOT fixed. **The row's remaining suspensions are (a) VIEW_HORIZON (dissolved) and (b) freeMode transparency (a requir
LIVE-B	B18	INTENT.md:1024	5.101	4870	both routes** (version-equal ⇒ unknown key survives untouched; version-different ⇒ removed with a warning, file rewritten). B18's own harness re-run green and reproducing §11.58's numbers. NEW §5.100/§5.101 = two adjacent old-only write sites found at the same functions, measured, NOT fixed. **The row's remaining suspensions are (a) VIEW_HORIZON (dissolved) and (b) freeMode transparency (a requirement s
LIVE-B	B31	INTENT.md:1025	5.32	2274	rialization source"*); the OVERRIDE LEDGER does need one (D34, the A29 hazard); **the save is a D8 USE-SITE** (first consumer touching every body ⇒ frozen bodies must be recomputed +4 iterations, and §5.32's stale reference becomes permanent in a save); **the save must read the MODEL, never the control-surface getters** (B33 — the existing config save persists the OLD observer's position); **the inline
LIVE-B	B31	INTENT.md:1025	5.39	2625	ve persists the OLD observer's position); **the inline annotation must go ABOVE its datum** (the legacy loader takes the value as the rest of the line, so a trailing comment is swallowed INTO it) ⇒ **§5.39's parser unification is a PRECONDITION, not a cleanup**; and **§11.101(i)(3)'s clean save channel is SPENT deliberately**. **Two existing save surfaces measured UNFIT** (farm runs, predictions first)
LIVE-B	B31	INTENT.md:1025	5.42	3003	rm runs, predictions first): `configuration action save` drops every comment, lowercases keys, materializes 9 unauthored keys, truncates in place, and its reader `exit(-1)`s on one malformed line → **§5.42**; `camera action save` **cannot succeed as shipped** (doubled `anchors/anchors/` prefix, measured by a 3-step ladder) and quantizes the date to **10 days** → **§5.41**. **NOW WAITS ON: DECISIONS_PEN
LIVE-B	B31	INTENT.md:1025	5.41	3170	(-1)`s on one malformed line → **§5.42**; `camera action save` **cannot succeed as shipped** (doubled `anchors/anchors/` prefix, measured by a 3-step ladder) and quantizes the date to **10 days** → **§5.41**. **NOW WAITS ON: DECISIONS_PENDING D30–D36** (snapshot-vs-delta · reload-vs-restore, where **§11.66(a) and R8 conflict on the same operation** · how deep "as-if" cuts · trigger/autosave · identity 
LIVE-B	B31	INTENT.md:1025	5.39	3481	and R8 conflict on the same operation** · how deep "as-if" cuts · trigger/autosave · identity key · may the writer touch legacy `ssystem.ini` · is a running show part of the session). **Sequencing**: §5.39 unification → writer rework → persistent-body serialization (completes B25's half) → session file → ledger; T3 (the §11.101(f) latch prediction, a restore should MOVE a Moon-grounded rover by up to 6
LIVE-B	B31	INTENT.md:1025	5.27	3720	sistent-body serialization (completes B25's half) → session file → ledger; T3 (the §11.101(f) latch prediction, a restore should MOVE a Moon-grounded rover by up to 6949.6 km) is sequenced with **D21/§5.27**, and `heading` is sequenced behind **D28**. **[ALL SEVEN DESIGN DECISIONS ANSWERED 2026-07-26 → §11.113(i)-(o) ⇒ THE ROW IS DISPATCHABLE (its own gate, §11.66(d)'s design pass, was met at §11.110; 
LIVE-B	B31	INTENT.md:1025	5.4	5262	 in-row design item · D35 composed + session files ONLY, legacy read-only forever (its revert clause elevated to §2.0 D13) · D36 declarative show state IN, time-bearing OUT. `b31-design.md` §3.5/§4.2/§5.4/§7 annotated with the answers — it is derived, §11.113 wins.]** **[SLICE 1 LANDED 2026-07-30 (F13, §11.119, code `9f60d3a1`+`99685172`): the §11.66(b) writer rework — a Section is an ordered LINE LIS
LIVE-B	B31	INTENT.md:1025	5.3	5748	`ssystem.ini`/`galactic.ini`/twin verified on copies), a value change is spliced into its own line, a removal is a commented-out line with its reason, an unrepresentable value is refused (§2(f)), and §5.3's annotation mechanism is complete: loader-produced, keyed (key,reason) on the section object, placed ABOVE the datum, `#!sc:`-marked so a rewrite REPLACES rather than accumulates (T9 green; the naiv
